priority_rank,la_name,need_type,facility_type,capital_cost_m,annual_saving_full_m,break_even_year,npv_10yr_m,npv_15yr_m
1,Hampshire,SEMH,Resourced provision unit / SEN unit,2.0,0.54,2031,1.4,3.52
2,Essex,ASD,Resourced provision unit / SEN unit,2.0,0.49,2032,1.07,2.99
3,Norfolk,SEMH,Resourced provision unit / SEN unit,2.0,0.58,2031,1.6,3.85
4,Norfolk,ASD,Resourced provision unit / SEN unit,2.0,0.58,2031,1.6,3.85
5,Cornwall,ASD,New maintained special school,20.0,4.02,2035,-2.43,13.29
6,Norfolk,MLD,New maintained special school,20.0,3.83,2036,-3.24,11.75
7,Lancashire,ASD,Resourced provision unit / SEN unit,2.0,0.51,2031,1.2,3.19
8,Suffolk,ASD,New maintained special school,20.0,3.58,2036,-4.35,9.66
9,Essex,SEMH,New maintained special school,20.0,3.27,2037,-5.71,7.08
10,Hertfordshire,MLD,Resourced provision unit / SEN unit,2.0,0.48,2032,1.03,2.92
11,Worcestershire,SEMH,New maintained special school,20.0,3.52,2036,-4.63,9.11
12,Cornwall,SEMH,New maintained special school,20.0,4.02,2035,-2.43,13.29
13,Bradford,SEMH,New maintained special school,20.0,3.3,2037,-5.56,7.35
14,Buckinghamshire,ASD,New maintained special school,20.0,3.26,2037,-5.74,7.03
15,Surrey,SEMH,Resourced provision unit / SEN unit,2.0,0.57,2031,1.55,3.76
16,Kent,ASD,Resourced provision unit / SEN unit,2.0,0.54,2031,1.36,3.45
17,Wiltshire,SEMH,New maintained special school,20.0,3.62,2036,-4.2,9.93
18,Worcestershire,ASD,New maintained special school,20.0,3.52,2036,-4.63,9.11
19,Nottinghamshire,ASD,Resourced provision unit / SEN unit,2.0,0.52,2031,1.27,3.3
20,West Sussex,SEMH,New maintained special school,20.0,3.56,2036,-4.45,9.46
21,Gloucestershire,ASD,New maintained special school,20.0,3.38,2037,-5.21,8.02
22,Kent,SEMH,New maintained special school,20.0,3.57,2036,-4.38,9.58
23,Lincolnshire,ASD,New maintained special school,20.0,3.19,2037,-6.04,6.45
24,Worcestershire,MLD,New maintained special school,20.0,3.52,2036,-4.63,9.11
25,Derbyshire,SEMH,New maintained special school,20.0,3.56,2036,-4.44,9.49
26,Shropshire,SEMH,New maintained special school,20.0,3.68,2036,-3.93,10.45
27,Leicester,ASD,New maintained special school,20.0,3.33,2037,-5.45,7.57
28,Suffolk,SEMH,New maintained special school,20.0,3.58,2036,-4.35,9.66
29,Central Bedfordshire,ASD,Resourced provision unit / SEN unit,2.0,0.47,2032,0.97,2.82
30,West Sussex,MLD,New maintained special school,20.0,3.56,2036,-4.45,9.46
