scope,diversion,saving_per_child,cumulative_gbp_m
A_mix_shift_only,0,60000,136
B_diversion_of_growth,0,60000,497
A_mix_shift_only,0,75000,170
B_diversion_of_growth,0,75000,622
A_mix_shift_only,0,97322,221
B_diversion_of_growth,0,97322,807
A_mix_shift_only,0,60000,272
B_diversion_of_growth,0,60000,995
A_mix_shift_only,0,75000,340
B_diversion_of_growth,0,75000,1244
A_mix_shift_only,0,97322,442
B_diversion_of_growth,0,97322,1614
A_mix_shift_only,1,60000,409
B_diversion_of_growth,1,60000,1492
A_mix_shift_only,1,75000,511
B_diversion_of_growth,1,75000,1865
A_mix_shift_only,1,97322,663
B_diversion_of_growth,1,97322,2420
