priority_rank,la_name,region,intervention_status,need_type,facility_type,lead_time,typical_places,gap_pp,gap_abs_children,dist_nearest_maintained_km,demand_growth_to_2030,pct_placements_independent,indep_cost_2030_m,risk_score
1,Hampshire,South East,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,20.3,3602,13.2,2.05,20.6,157.6,0.98
2,Essex,East of England,Safety Valve,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,19.4,2766,17.3,2.05,9.0,46.2,0.77
3,Norfolk,East of England,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,21.9,2663,11.8,2.05,27.8,138.1,0.98
4,Norfolk,East of England,Safety Valve,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,19.9,2422,14.2,2.05,27.8,138.1,0.98
5,Cornwall,South West,Delivering Better Value,ASD,New maintained special school,4–6 years,80–150,28.7,1420,58.7,2.05,34.0,44.5,0.12
6,Norfolk,East of England,Safety Valve,MLD,New maintained special school,4–6 years,80–150,12.1,1470,47.7,2.05,27.8,138.1,0.98
7,Lancashire,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,28.6,3517,5.2,2.04,13.4,59.3,0.59
8,Suffolk,East of England,Safety Valve,ASD,New maintained special school,4–6 years,80–150,22.1,1952,35.4,1.75,19.4,63.6,0.3
9,Essex,East of England,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,13.6,1938,25.6,2.05,9.0,46.2,0.77
10,Hertfordshire,East of England,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,18.8,2429,19.2,1.61,7.4,38.8,0.72
11,Worcestershire,West Midlands,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,22.9,1596,24.2,2.05,17.2,63.1,0.36
12,Cornwall,South West,Delivering Better Value,SEMH,New maintained special school,4–6 years,80–150,21.7,1074,54.5,2.05,34.0,44.5,0.12
13,Bradford,Yorkshire and The Humber,Delivering Better Value,SEMH,New maintained special school,4–6 years,80–150,23.3,1746,18.9,2.05,10.1,29.1,0.66
14,Buckinghamshire,South East,No intervention,ASD,New maintained special school,4–6 years,80–150,31.9,2302,22.4,1.39,8.8,26.2,0.14
15,Surrey,South East,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.4,2156,13.4,1.5,25.7,194.3,0.91
16,Kent,South East,Safety Valve,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,16.3,3355,11.5,1.08,19.1,246.5,0.99
17,Wiltshire,South West,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,23.3,1487,17.5,2.05,20.5,48.8,0.66
18,Worcestershire,West Midlands,Safety Valve,ASD,New maintained special school,4–6 years,80–150,19.5,1359,22.5,2.05,17.2,63.1,0.36
19,Nottinghamshire,East Midlands,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,32.5,1761,10.5,2.05,15.8,45.2,0.47
20,West Sussex,South East,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,16.5,1538,16.8,1.88,18.6,84.8,0.79
21,Gloucestershire,South West,Safety Valve,ASD,New maintained special school,4–6 years,80–150,18.4,1180,35.3,2.05,12.8,30.4,0.35
22,Kent,South East,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,12.8,2647,16.6,1.08,19.1,246.5,0.99
23,Lincolnshire,East Midlands,Delivering Better Value,ASD,New maintained special school,4–6 years,80–150,28.9,2431,26.3,1.08,6.5,21.8,0.22
24,Worcestershire,West Midlands,Safety Valve,MLD,New maintained special school,4–6 years,80–150,16.4,1143,27.2,2.05,17.2,63.1,0.36
25,Derbyshire,East Midlands,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,16.3,1243,18.4,2.05,18.7,51.8,0.58
26,Shropshire,West Midlands,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,30.2,911,43.4,2.05,22.6,23.8,0.15
27,Leicester,East Midlands,Delivering Better Value,ASD,New maintained special school,4–6 years,80–150,27.7,1124,27.6,2.05,11.0,21.2,0.63
28,Suffolk,East of England,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,15.6,1377,18.5,1.75,19.4,63.6,0.3
29,Central Bedfordshire,East of England,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,31.1,1255,15.7,2.05,5.3,8.1,0.64
30,West Sussex,South East,Safety Valve,MLD,New maintained special school,4–6 years,80–150,11.2,1042,24.7,1.88,18.6,84.8,0.79
