feat_year,model_family,collapse_type,n_la,n_positive,auc_loo,precision_at_10,precision_at_20
2016,signals_only,y_timeliness,141,42,0.478,0.400,0.250
2016,signals_only,y_appeal,141,35,0.711,0.600,0.500
2016,signals_only,y_placement,141,35,0.564,0.100,0.350
2016,signals_only,y_composite,141,23,0.499,0.100,0.150
2017,signals_only,y_timeliness,141,42,0.535,0.300,0.250
2017,signals_only,y_appeal,141,35,0.770,0.600,0.600
2017,signals_only,y_placement,141,35,0.572,0.200,0.300
2017,signals_only,y_composite,141,23,0.629,0.200,0.150
2017,demand_only,y_timeliness,143,44,0.700,0.300,0.550
2017,demand_only,y_appeal,143,34,0.628,0.600,0.500
2017,demand_only,y_placement,143,35,0.423,0.000,0.250
2017,demand_only,y_composite,143,23,0.681,0.500,0.450
2017,demand_legal,y_timeliness,140,42,0.665,0.400,0.500
2017,demand_legal,y_appeal,140,34,0.765,0.800,0.650
2017,demand_legal,y_placement,140,35,0.510,0.200,0.150
2017,demand_legal,y_composite,140,23,0.668,0.500,0.450
2017,demand_cost,y_timeliness,142,44,0.689,0.300,0.550
2017,demand_cost,y_appeal,142,34,0.609,0.600,0.500
2017,demand_cost,y_placement,142,35,0.437,0.000,0.250
2017,demand_cost,y_composite,142,23,0.677,0.500,0.450
2018,signals_only,y_timeliness,141,42,0.482,0.100,0.250
2018,signals_only,y_appeal,141,35,0.763,0.500,0.550
2018,signals_only,y_placement,141,35,0.718,0.600,0.650
2018,signals_only,y_composite,141,23,0.695,0.100,0.200
2018,demand_only,y_timeliness,143,44,0.675,0.400,0.550
2018,demand_only,y_appeal,143,34,0.628,0.600,0.500
2018,demand_only,y_placement,143,35,0.356,0.000,0.250
2018,demand_only,y_composite,143,23,0.683,0.500,0.450
2018,demand_legal,y_timeliness,140,42,0.641,0.500,0.600
2018,demand_legal,y_appeal,140,34,0.785,0.600,0.650
2018,demand_legal,y_placement,140,35,0.567,0.200,0.350
2018,demand_legal,y_composite,140,23,0.666,0.400,0.450
2018,demand_cost,y_timeliness,142,44,0.673,0.500,0.550
2018,demand_cost,y_appeal,142,34,0.628,0.600,0.500
2018,demand_cost,y_placement,142,35,0.712,0.300,0.400
2018,demand_cost,y_composite,142,23,0.729,0.400,0.450
2019,signals_only,y_timeliness,141,42,0.541,0.200,0.400
2019,signals_only,y_appeal,141,35,0.774,0.500,0.550
2019,signals_only,y_placement,141,35,0.784,0.600,0.550
2019,signals_only,y_composite,141,23,0.704,0.300,0.350
2019,demand_only,y_timeliness,143,44,0.653,0.500,0.500
2019,demand_only,y_appeal,143,34,0.681,0.500,0.500
2019,demand_only,y_placement,143,35,0.596,0.300,0.300
2019,demand_only,y_composite,143,23,0.657,0.600,0.350
2019,demand_legal,y_timeliness,140,42,0.636,0.500,0.400
2019,demand_legal,y_appeal,140,34,0.782,0.900,0.600
2019,demand_legal,y_placement,140,35,0.645,0.400,0.450
2019,demand_legal,y_composite,140,23,0.647,0.400,0.350
2019,demand_cost,y_timeliness,142,44,0.647,0.400,0.500
2019,demand_cost,y_appeal,142,34,0.684,0.600,0.500
2019,demand_cost,y_placement,142,35,0.733,0.600,0.500
2019,demand_cost,y_composite,142,23,0.729,0.600,0.500
2019,full,y_timeliness,139,42,0.644,0.400,0.450
2019,full,y_appeal,139,34,0.758,0.800,0.700
2019,full,y_placement,139,35,0.807,0.700,0.650
2019,full,y_composite,139,23,0.741,0.600,0.550
2020,signals_only,y_timeliness,141,42,0.500,0.200,0.200
2020,signals_only,y_appeal,141,35,0.827,0.700,0.650
2020,signals_only,y_placement,141,35,0.801,0.600,0.500
2020,signals_only,y_composite,141,23,0.726,0.400,0.350
2020,demand_only,y_timeliness,145,44,0.679,0.500,0.600
2020,demand_only,y_appeal,145,35,0.632,0.700,0.550
