collapse_type,feat_year,auc_A_total_demand,auc_B_need_counts,auc_G_signals,auc_H_full,auc_best,best_model,verdict
y_timeliness,2016,,,0.478,,0.504,C_need_type_shares,D: Not forecastable at this training year
y_timeliness,2017,0.700,,0.535,,0.700,A_total_demand,B: Weakly predictive (best model modest)
y_timeliness,2018,0.675,,0.482,,0.675,A_total_demand,B: Weakly predictive (best model modest)
y_timeliness,2019,0.653,0.692,0.541,0.657,0.692,B_need_type_counts,A: Need-type growth was predictive
y_timeliness,2020,0.679,0.655,0.500,0.601,0.679,A_total_demand,A: Need-type growth was predictive
y_timeliness,2021,0.660,0.655,0.499,0.659,0.707,E_counts_throughput,A: Need-type growth was predictive
y_appeal,2016,,,0.711,,0.711,G_signals_only,B: Weakly predictive (best model modest)
y_appeal,2017,0.628,,0.770,,0.770,G_signals_only,B: Weakly predictive (best model modest)
y_appeal,2018,0.628,,0.763,,0.763,G_signals_only,B: Weakly predictive (best model modest)
y_appeal,2019,0.681,0.766,0.774,0.764,0.774,G_signals_only,A: Need-type growth was predictive
y_appeal,2020,0.632,0.774,0.827,0.857,0.857,H_full,C: System-failure signals dominated
y_appeal,2021,0.634,0.774,0.878,0.870,0.878,G_signals_only,C: System-failure signals dominated
y_placement,2016,,,0.564,,0.564,G_signals_only,D: Not forecastable at this training year
y_placement,2017,0.423,,0.572,,0.572,G_signals_only,D: Not forecastable at this training year
y_placement,2018,0.356,,0.718,,0.718,G_signals_only,B: Weakly predictive (best model modest)
y_placement,2019,0.596,0.730,0.784,0.857,0.857,H_full,C: System-failure signals dominated
y_placement,2020,0.596,0.698,0.801,0.807,0.807,H_full,C: System-failure signals dominated
y_placement,2021,0.651,0.698,0.755,0.821,0.821,H_full,C: System-failure signals dominated
y_composite,2016,,,0.499,,0.609,C_need_type_shares,B: Weakly predictive (best model modest)
y_composite,2017,0.681,,0.629,,0.681,A_total_demand,B: Weakly predictive (best model modest)
y_composite,2018,0.683,,0.695,,0.695,G_signals_only,B: Weakly predictive (best model modest)
y_composite,2019,0.657,0.689,0.704,0.722,0.752,F_counts_cost,A: Need-type growth was predictive
y_composite,2020,0.686,0.650,0.726,0.755,0.766,E_counts_throughput,C: System-failure signals dominated
y_composite,2021,0.680,0.650,0.754,0.718,0.818,E_counts_throughput,C: System-failure signals dominated
