la_code,la_name,n_state_special_schools,state_special_capacity,n_indep_special_schools,indep_special_sector_capacity,special_state_placements,special_indep_placements,special_total,pct_special_independent,maintained_special_capacity_per1000,indep_placements_per1000
E08000030,Walsall,7.0,866.0,5.0,314.0,1055.0,168.0,1229.0,13.669650122050447,3.9145135335490986,0.7593975446146057
E08000024,Sunderland,7.0,1043.0,4.0,220.0,1034.0,89.0,1140.0,7.80701754385965,6.170575289301182,0.5265399815415197
E10000016,Kent,25.0,4838.0,47.0,2595.0,6222.0,1500.0,7869.0,19.062142584826535,4.467534194458707,1.385138753966114
E10000011,East Sussex,13.0,1311.0,10.0,621.0,1465.0,252.0,1883.0,13.382899628252787,4.462219196732471,0.8577263444520082
E09000028,Southwark,10.0,750.0,5.0,204.0,787.0,111.0,905.0,12.265193370165745,3.9350248693571745,0.5823836806648618
E09000017,Hillingdon,8.0,1036.0,2.0,300.0,952.0,174.0,1205.0,14.439834024896264,4.556570081455288,0.7652926584683591
E09000023,Lewisham,5.0,731.0,2.0,66.0,914.0,211.0,1131.0,18.65605658709107,4.577332498434564,1.3212273011897309
E10000028,Staffordshire,23.0,2557.0,27.0,1529.0,2737.0,605.0,3354.0,18.038163387000598,4.917837305555983,1.16358684781438
E08000025,Birmingham,26.0,4926.0,13.0,563.0,4880.0,225.0,5109.0,4.403992953611274,5.739519492927552,0.262158320322513
E08000017,Doncaster,6.0,760.0,6.0,197.0,768.0,133.0,915.0,14.535519125683061,3.821707297449513,0.6687987770536649
E08000016,Barnsley,3.0,524.0,3.0,254.0,551.0,221.0,801.0,27.590511860174782,3.699102050036709,1.5601174676681537
E06000006,Halton,5.0,358.0,3.0,88.0,445.0,89.0,567.0,15.696649029982362,4.8313090418353575,1.2010796221322537
E08000029,Solihull,6.0,774.0,2.0,75.0,828.0,88.0,917.0,9.59651035986914,4.624539935949524,0.5257874862578271
E06000050,Cheshire West and Chester,10.0,561.0,8.0,523.0,1021.0,104.0,1148.0,9.059233449477352,2.535891223375402,0.47011174194481614
E06000024,North Somerset,4.0,484.0,2.0,57.0,464.0,121.0,589.0,20.54329371816638,3.717929021355047,0.9294822553387617
E06000025,South Gloucestershire,6.0,411.0,3.0,138.0,674.0,98.0,780.0,12.564102564102564,2.4450314106225015,0.5830001903674091
E10000027,Somerset,,,,,1041.0,401.0,1450.0,27.655172413793107,,
E06000015,Derby,6.0,571.0,4.0,184.0,938.0,136.0,1123.0,12.110418521816563,2.9940433743026134,0.713117160954738
E06000063,Cumberland,3.0,506.0,3.0,131.0,467.0,80.0,550.0,14.545454545454545,3.1514698555057303,0.4982561036372695
E06000040,Windsor and Maidenhead,2.0,405.0,4.0,383.0,260.0,81.0,357.0,22.689075630252102,3.5731931112365896,0.7146386222473179
E06000011,East Riding of Yorkshire,3.0,435.0,6.0,176.0,513.0,66.0,586.0,11.262798634812286,2.366651433048247,0.35907814846249264
E06000034,Thurrock,3.0,540.0,1.0,30.0,547.0,39.0,590.0,6.610169491525424,4.2570635721493435,0.30745459132189706
E10000019,Lincolnshire,17.0,2313.0,15.0,805.0,2213.0,155.0,2380.0,6.512605042016808,5.190521071765182,0.3478299896773035
E09000029,Sutton,4.0,709.0,4.0,255.0,535.0,139.0,687.0,20.232896652110625,4.135461141830569,0.8107603649004923
E10000008,Devon,12.0,1670.0,23.0,1353.0,1827.0,754.0,2614.0,28.84468247895945,3.9161796846420094,1.768143402526991
E08000012,Liverpool,12.0,1843.0,5.0,315.0,1893.0,143.0,2109.0,6.780464675201517,5.7945041816009555,0.44960070426963467
E08000006,Salford,5.0,1024.0,2.0,180.0,952.0,153.0,1152.0,13.28125,5.697752058758068,0.8513242822167816
E10000030,Surrey,26.0,2891.0,26.0,2358.0,3258.0,1231.0,4789.0,25.70474002923366,3.54120834701147,1.50786145803221
E09000022,Lambeth,6.0,698.0,3.0,235.0,698.0,71.0,780.0,9.102564102564102,4.700716556220032,0.47815311675017513
E06000036,Bracknell Forest,2.0,248.0,1.0,24.0,255.0,102.0,376.0,27.127659574468083,2.796193568754792,1.1500473548910837
E06000037,West Berkshire,2.0,430.0,8.0,470.0,325.0,83.0,425.0,19.52941176470588,3.5608996654410547,0.6873364470502501
E06000041,Wokingham,3.0,479.0,2.0,124.0,417.0,126.0,594.0,21.21212121212121,3.4791830093843514,0.9151921903599756
E08000002,Bury,4.0,553.0,3.0,134.0,568.0,181.0,774.0,23.385012919896642,4.461404414612108,1.4602426745837098
E06000022,Bath and North East Somerset,3.0,564.0,2.0,24.0,613.0,96.0,714.0,13.445378151260504,4.4226969041121675,0.7527994730403689
E06000031,Peterborough,5.0,740.0,2.0,60.0,0.0,,,,4.385756957944147,
E08000037,Gateshead,6.0,684.0,1.0,30.0,762.0,34.0,811.0,4.192355117139334,5.629073671736125,0.2798077556126144
E09000013,Hammersmith and Fulham,4.0,299.0,2.0,315.0,376.0,110.0,499.0,22.044088176352705,2.8610249933019483,1.0525510008803154
E06000055,Bedford,4.0,656.0,1.0,18.0,437.0,24.0,462.0,5.194805194805195,4.5136786480982005,0.1651345846865195
E09000014,Haringey,4.0,502.0,1.0,39.0,546.0,91.0,639.0,14.241001564945227,3.0603038357433734,0.554756273013241
E06000056,Central Bedfordshire,4.0,924.0,3.0,154.0,877.0,49.0,928.0,5.280172413793103,4.644149577804584,0.24628065942903093
E08000018,Rotherham,7.0,1159.0,2.0,141.0,1085.0,106.0,1209.0,8.767576509511994,6.369251736569067,0.5825200035171019
E06000047,County Durham,9.0,1108.0,6.0,261.0,1722.0,78.0,1825.0,4.273972602739726,3.689397975492808,0.2597229621736814
E06000002,Middlesbrough,4.0,370.0,1.0,40.0,700.0,80.0,783.0,10.217113665389528,3.5733601174379976,0.7726184037703778
E09000018,Hounslow,5.0,1008.0,1.0,86.0,959.0,179.0,1166.0,15.3516295025729,5.242463958060289,0.9309534211238012
E10000032,West Sussex,12.0,1564.0,19.0,1170.0,2036.0,516.0,2769.0,18.634886240520043,2.988565488565489,0.9859973095267213
E10000007,Derbyshire,10.0,1431.0,19.0,806.0,1323.0,315.0,1681.0,18.738845925044618,3.1987088929024874,0.7041183097584092
E08000011,Knowsley,4.0,633.0,1.0,28.0,693.0,136.0,856.0,15.887850467289718,7.287253637870695,1.5656658684840672
E08000034,Kirklees,6.0,659.0,5.0,267.0,870.0,111.0,1041.0,10.662824207492795,2.4184551246293413,0.40735738821526085
E08000032,Bradford,8.0,1505.0,3.0,166.0,1536.0,177.0,1745.0,10.1432664756447,3.6700156067108853,0.4316230979321108
E06000043,Brighton and Hove,2.0,223.0,2.0,33.0,496.0,85.0,595.0,14.285714285714285,1.6093646257325134,0.6134349470280881
E06000038,Reading,4.0,427.0,1.0,60.0,512.0,69.0,590.0,11.694915254237289,3.8806892540351896,0.6270903010033445
E10000013,Gloucestershire,12.0,1238.0,8.0,548.0,1442.0,217.0,1699.0,12.772218952324895,3.0451508800928795,0.5337623109694305
E06000057,Northumberland,10.0,1537.0,4.0,181.0,1289.0,129.0,1450.0,8.89655172413793,8.462351619794305,0.7102429140881361
E06000020,Telford and Wrekin,4.0,268.0,4.0,107.0,711.0,53.0,764.0,6.9371727748691105,1.9934543290687297,0.394227908360607
E09000006,Bromley,4.0,847.0,7.0,454.0,921.0,225.0,1180.0,19.06779661016949,3.637316201731483,0.9662292153359902
E08000009,Trafford,7.0,856.0,2.0,52.0,788.0,67.0,927.0,7.227615965480043,4.694526708347044,0.36744543161127563
E06000013,North Lincolnshire,3.0,198.0,8.0,316.0,375.0,86.0,465.0,18.494623655913976,2.0207380796864793,0.8776943174395819
E06000001,Hartlepool,3.0,387.0,2.0,24.0,297.0,60.0,361.0,16.62049861495845,6.403468131577205,0.9927857568336753
E09000027,Richmond upon Thames,3.0,331.0,1.0,60.0,335.0,128.0,482.0,26.556016597510375,2.1006803411860275,0.8123476848090982
E08000007,Stockport,7.0,785.0,7.0,316.0,827.0,152.0,1041.0,14.601344860710855,4.088626846392633,0.7916831600658346
E08000023,South Tyneside,4.0,231.0,,,632.0,57.0,729.0,7.818930041152264,2.505096950505357,0.6181408059688543
E08000010,Wigan,6.0,889.0,8.0,416.0,975.0,154.0,1148.0,13.414634146341465,4.548152089387304,0.7878688658781157
E09000004,Bexley,7.0,785.0,2.0,74.0,817.0,120.0,949.0,12.644889357218126,4.485816818670141,0.6857299595419324
E08000026,Coventry,7.0,1114.0,1.0,12.0,1308.0,98.0,1407.0,6.965174129353234,4.367668276770591,0.38422934571231415
E10000023,North Yorkshire,,,,,1334.0,145.0,1552.0,9.342783505154639,,
E09000012,Hackney,3.0,470.0,2.0,250.0,0.0,,,,2.745968684272026,
E09000033,Westminster,3.0,314.0,4.0,465.0,312.0,56.0,381.0,14.698162729658792,2.6032167136461615,0.4642679489305256
E06000014,York,2.0,224.0,2.0,65.0,272.0,6.0,288.0,2.083333333333333,2.0164194152383694,0.05401123433674204
E09000005,Brent,6.0,1010.0,4.0,184.0,1004.0,160.0,1177.0,13.593882752761258,4.988541172751699,0.790263948158685
E08000005,Rochdale,5.0,775.0,6.0,195.0,747.0,134.0,901.0,14.872364039955604,5.00400320256205,0.8652082956687931
E06000033,Southend-on-Sea,5.0,600.0,2.0,34.0,626.0,15.0,644.0,2.329192546583851,4.585893790699807,0.11464734476749518
E06000021,Stoke-on-Trent,5.0,952.0,12.0,494.0,952.0,268.0,1223.0,21.913327882256745,5.6410134862885455,1.5880164016022373
E06000058,"Bournemouth, Christchurch and Poole",,,,,897.0,212.0,1322.0,16.036308623298034,,0.9587033988748802
E10000017,Lancashire,29.0,3116.0,36.0,1670.0,3679.0,572.0,4274.0,13.383247543284979,4.194870303656915,0.7700467951513976
E08000003,Manchester,15.0,2262.0,5.0,236.0,2372.0,147.0,2589.0,5.677867902665121,5.662190982547836,0.36796731849448805
E09000019,Islington,6.0,431.0,,,543.0,37.0,582.0,6.357388316151202,4.488274253342775,0.3853042862498438
E06000010,"Kingston upon Hull, City of",6.0,842.0,3.0,90.0,761.0,26.0,788.0,3.2994923857868024,4.764707213834627,0.14712872631793386
E06000005,Darlington,2.0,465.0,4.0,165.0,282.0,51.0,334.0,15.269461077844312,7.141540729819388,0.783265757464062
E06000018,Nottingham,5.0,464.0,1.0,30.0,745.0,27.0,804.0,3.3582089552238807,2.2225202613377273,0.12932768762094535
E10000015,Hertfordshire,26.0,2679.0,7.0,368.0,2915.0,236.0,3184.0,7.4120603015075375,2.9687631594111674,0.2615259819414093
E06000052,Cornwall,5.0,536.0,8.0,583.0,517.0,271.0,798.0,33.959899749373434,1.7871670734472318,0.9035863375078356
E10000014,Hampshire,27.0,2361.0,29.0,1963.0,3612.0,959.0,4665.0,20.557341907824224,2.9753503377356587,1.2085391672547636
E08000004,Oldham,5.0,1500.0,9.0,428.0,1170.0,55.0,1233.0,4.4606650446066505,7.849786485807586,0.28782550447961147
E06000061,North Northamptonshire,8.0,1301.0,1.0,77.0,1344.0,197.0,1541.0,12.783906554185595,5.520103189015801,0.8358649717418238
E09000016,Havering,4.0,420.0,1.0,50.0,434.0,56.0,498.0,11.244979919678714,2.3843044643262634,0.3179072619101685
E06000049,Cheshire East,6.0,629.0,10.0,423.0,772.0,387.0,1224.0,31.61764705882353,2.5905242001910973,1.593851932391025
E09000030,Tower Hamlets,5.0,827.0,1.0,76.0,821.0,94.0,935.0,10.053475935828878,4.39921697129604,0.5000319169308679
E09000009,Ealing,6.0,1023.0,5.0,465.0,1042.0,199.0,1248.0,15.94551282051282,4.369852715032635,0.8500495506270717
E06000009,Blackpool,4.0,588.0,3.0,94.0,546.0,76.0,624.0,12.179487179487179,7.386563489271896,0.9547258931711974
E08000019,Sheffield,12.0,1193.0,2.0,98.0,1606.0,95.0,1727.0,5.500868558193399,3.399984040309618,0.27074474755189754
E09000003,Barnet,7.0,686.0,2.0,210.0,741.0,114.0,863.0,13.20973348783314,2.447971680607497,0.4068057894887094
E06000062,West Northamptonshire,9.0,1288.0,8.0,488.0,1182.0,221.0,1413.0,15.640481245576787,4.528960027004979,0.7770964021491462
E08000027,Dudley,7.0,830.0,4.0,228.0,1055.0,131.0,1187.0,11.036225779275483,4.243180238027074,0.6697067604596949
E09000024,Merton,3.0,614.0,2.0,508.0,635.0,274.0,921.0,29.75027144408252,4.757477142414381,2.123043545637688
E06000019,"Herefordshire, County of",5.0,454.0,6.0,201.0,389.0,47.0,438.0,10.730593607305936,4.526781797152315,0.46863159574043795
E09000010,Enfield,7.0,997.0,1.0,50.0,1256.0,101.0,1405.0,7.188612099644128,4.420266723416329,0.4477903099950344
E08000001,Bolton,6.0,939.0,3.0,223.0,1049.0,123.0,1213.0,10.1401483924155,4.07856559584412,0.5342530013725524
E10000012,Essex,23.0,3661.0,17.0,760.0,3811.0,383.0,4251.0,9.009644789461303,3.8994929913510292,0.407950236462017
E06000059,Dorset,,,,,920.0,225.0,1204.0,18.687707641196013,,1.0722455203964925
E06000051,Shropshire,3.0,577.0,19.0,828.0,566.0,166.0,733.0,22.646657571623464,3.2547382671480145,0.9363718411552346
E06000030,Swindon,6.0,621.0,1.0,44.0,841.0,22.0,875.0,2.5142857142857142,4.130527324003618,0.14633108072154527
E09000032,Wandsworth,6.0,904.0,5.0,317.0,664.0,204.0,881.0,23.15550510783201,5.390321272688244,1.2163999332172586
E09000020,Kensington and Chelsea,3.0,216.0,2.0,95.0,151.0,39.0,203.0,19.21182266009852,2.255639097744361,0.40726817042606517
