la_code,la_name,region,intervention_status,mean_timeliness,n_timeliness,mean_appeal,n_appeal,indep_per_1000,pct_special_independent,y_timeliness,y_appeal,y_placement,n_flags,y_composite
E09000002,Barking and Dagenham,London,,21.967,3,2.000,3,1.058,7.249,1.000,0.000,0.000,1.000,0.000
E09000003,Barnet,London,,94.000,3,4.800,3,1.627,13.210,0.000,1.000,0.000,1.000,0.000
E08000016,Barnsley,Yorkshire and The Humber,Safety Valve,87.433,3,2.300,3,6.240,27.591,0.000,0.000,1.000,1.000,0.000
E06000022,Bath and North East Somerset,South West,Safety Valve,27.867,3,2.467,3,3.011,13.445,1.000,0.000,0.000,1.000,0.000
E06000055,Bedford,East of England,,79.633,3,1.400,3,0.661,5.195,0.000,0.000,0.000,0.000,0.000
E09000004,Bexley,London,Safety Valve,77.067,3,1.867,3,2.743,12.645,0.000,0.000,0.000,0.000,0.000
E08000025,Birmingham,West Midlands,Delivering Better Value,49.433,3,5.567,3,1.049,4.404,0.000,1.000,0.000,1.000,0.000
E06000008,Blackburn with Darwen,North West,,90.900,3,0.933,3,2.406,14.959,0.000,0.000,0.000,0.000,0.000
E06000009,Blackpool,North West,Safety Valve,76.100,3,0.500,2,3.819,12.179,0.000,0.000,1.000,1.000,0.000
E08000001,Bolton,North West,Safety Valve,53.167,3,1.333,3,2.137,10.140,0.000,0.000,0.000,0.000,0.000
E06000036,Bracknell Forest,South East,Safety Valve,44.333,3,6.200,3,4.600,27.128,0.000,1.000,1.000,2.000,1.000
E08000032,Bradford,Yorkshire and The Humber,,79.800,3,4.033,3,1.726,10.143,0.000,0.000,0.000,0.000,0.000
E09000005,Brent,London,Delivering Better Value,51.500,3,1.667,3,3.161,13.594,0.000,0.000,0.000,0.000,0.000
E06000043,Brighton and Hove,South East,,76.467,3,3.700,3,2.454,14.286,0.000,0.000,0.000,0.000,0.000
E06000023,"Bristol, City of",South West,Safety Valve,37.467,3,2.900,3,2.551,13.509,1.000,0.000,0.000,1.000,0.000
E09000006,Bromley,London,,33.700,3,4.000,3,3.865,19.068,1.000,0.000,1.000,2.000,1.000
E10000002,Buckinghamshire,South East,Delivering Better Value,46.467,3,3.533,3,1.787,8.828,0.000,0.000,0.000,0.000,0.000
E08000002,Bury,North West,Safety Valve,74.700,3,2.067,3,5.841,23.385,0.000,0.000,1.000,1.000,0.000
E08000033,Calderdale,Yorkshire and The Humber,,97.433,3,2.233,3,2.973,16.821,0.000,0.000,0.000,0.000,0.000
E10000003,Cambridgeshire,East of England,Safety Valve,29.867,3,3.167,3,2.355,12.603,1.000,0.000,0.000,1.000,0.000
E09000007,Camden,London,,96.567,3,3.567,3,2.386,17.794,0.000,0.000,0.000,0.000,0.000
E06000056,Central Bedfordshire,East of England,Delivering Better Value,26.467,3,2.500,3,0.985,5.280,1.000,0.000,0.000,1.000,0.000
E06000049,Cheshire East,North West,Delivering Better Value,50.833,3,2.400,3,6.375,31.618,0.000,0.000,1.000,1.000,0.000
E06000050,Cheshire West and Chester,North West,,17.867,3,2.867,3,1.880,9.059,1.000,0.000,0.000,1.000,0.000
E06000052,Cornwall,South West,Delivering Better Value,11.567,3,2.633,3,3.614,33.960,1.000,0.000,0.000,1.000,0.000
E06000047,County Durham,North East,Delivering Better Value,15.067,3,6.267,3,1.039,4.274,1.000,1.000,0.000,2.000,1.000
