la_code,la_name,region,intervention_status,pct_ASD_now,pct_SEMH_now,pct_MLD_now,pct_SLD_now,pct_SLCN_now,total_ehcp_now,supply_pct_ASD,supply_pct_MLD,supply_pct_Other,supply_pct_SEMH,supply_pct_SLCN,supply_pct_SLD,pct_ASD_1516,pct_SEMH_1516,pct_MLD_1516,pct_SLD_1516,asd_gap,semh_gap,mld_gap,mismatch_index,asd_demand_shift,semh_demand_shift,indep_per_ehcp,log_indep_per_ehcp
E08000030,Walsall,West Midlands,Delivering Better Value,18.5,23.1,11.9,5.2,25.0,4743,17.321016166281755,43.87990762124711,16.166281755196305,13.394919168591224,0.0,9.237875288683602,14.661016949152541,10.508474576271185,25.338983050847457,16.94915254237288,1.1789838337182452,9.705080831408777,-31.979907621247115,10.884064665127022,3.8389830508474585,12.591525423728816,3473.5330523513753,8.152927525663127
E08000024,Sunderland,North East,Delivering Better Value,33.6,22.6,7.8,5.7,19.2,3000,25.21572387344199,0.0,28.763183125599234,0.0,13.422818791946309,32.59827420901246,40.91743119266055,17.889908256880734,5.412844036697248,16.51376146788991,8.38427612655801,22.6,7.8,30.98427612655801,-7.31743119266055,4.710091743119268,2923.6555555555556,7.980590014873208
E10000016,Kent,South East,Safety Valve,46.2,18.6,5.0,3.9,17.4,20635,29.943162245952465,0.0,16.21598346538064,5.769893213916638,45.82328625559766,2.247674819152601,38.67283950617284,12.716049382716049,5.401234567901234,10.632716049382717,16.256837754047538,12.830106786083363,5.0,29.0869445401309,7.527160493827161,5.883950617283952,4702.632452207966,8.45587772711727
E10000011,East Sussex,South East,Safety Valve,40.4,16.9,12.1,2.1,17.2,4939,22.10144927536232,0.0,52.38095238095239,0.0,25.5175983436853,0.0,22.88861689106487,14.035087719298245,8.608731130150959,8.771929824561402,18.29855072463768,16.9,12.1,35.19855072463768,17.511383108935128,2.8649122807017537,4843.958710532126,8.485487580799356
E09000028,Southwark,London,No intervention,53.7,14.6,10.0,1.0,11.0,3552,24.704336399474375,0.0,46.29872974156811,28.99693385895751,0.0,0.0,46.75431388660641,8.874281018898932,4.519309778142974,8.874281018898932,28.995663600525628,-14.396933858957512,10.0,28.995663600525628,6.945686113393592,5.725718981101068,5202.81122132672,8.55695437797336
E09000017,Hillingdon,London,Delivering Better Value,53.2,8.8,6.0,2.8,18.7,3469,20.884326885116465,0.0,64.90327674694039,6.316620607974734,7.895775759968417,0.0,26.159554730983302,9.523809523809524,7.66852195423624,14.780457637600493,32.31567311488354,2.4833793920252667,6.0,34.79905250690881,27.0404452690167,-0.723809523809523,4647.346845560948,8.444051764896805
E09000023,Lewisham,London,No intervention,35.4,13.2,3.3,5.2,30.6,3696,31.92106790481718,0.0,49.27452118398143,0.0,18.804410911201394,0.0,52.64012997562957,2.4370430544272947,5.280259951259139,10.722989439480097,3.47893209518282,13.2,3.3,16.67893209518282,-17.24012997562957,10.762956945572704,4518.031478358628,8.415831664325196
E10000028,Staffordshire,West Midlands,No intervention,24.9,20.1,16.0,1.3,26.2,8461,14.0954855472556,10.39298473530367,49.83760961351088,4.936667749269243,14.387788242936017,6.349464111724585,24.256979885920142,10.987691383968778,19.3335334734314,14.95046532572801,10.804514452744398,15.163332250730758,5.607015264696329,25.967846703475153,0.6430201140798566,9.112308616031223,5369.110280373832,8.58841749041908
E08000025,Birmingham,West Midlands,No intervention,38.9,12.5,10.1,2.3,18.6,12094,17.87540238591176,2.272296913463359,51.09827684150729,4.847566748721833,13.453891308464305,10.452565801931453,30.32278581650501,11.893782795356971,12.450310065193195,10.256002544124662,21.02459761408824,7.652433251278167,7.827703086536641,28.677030865366408,8.577214183494988,0.6062172046430288,2080.332518115942,7.640283024397218
E08000017,Doncaster,Yorkshire and The Humber,Delivering Better Value,31.3,18.3,6.7,3.9,27.9,3142,17.545871559633028,18.46330275229358,40.825688073394495,0.0,0.0,23.165137614678898,37.46701846965699,8.53122251539138,10.90589270008795,15.303430079155673,13.754128440366973,18.3,-11.76330275229358,32.05412844036697,-6.167018469656991,9.76877748460862,8225.837490551776,9.015035393009494
E08000016,Barnsley,Yorkshire and The Humber,Delivering Better Value,41.4,16.8,8.0,1.7,18.6,3044,0.0,0.0,74.80916030534351,25.190839694656486,0.0,0.0,22.63660017346054,16.825672159583693,12.055507372072853,11.795316565481354,41.4,-8.390839694656485,8.0,41.4,18.76339982653946,-0.025672159583692178,7330.797965116279,8.899839651863648
E06000006,Halton,North West,Delivering Better Value,32.7,25.0,8.9,1.2,24.6,1712,18.833162743091094,0.0,39.815762538382806,0.0,22.92732855680655,18.42374616171955,37.142857142857146,6.493506493506493,4.1558441558441555,16.623376623376622,13.866837256908909,25.0,8.9,38.86683725690891,-4.442857142857143,18.506493506493506,5569.160761154855,8.624999650322392
