la_name_gias,state_cap_20km,indep_cap_20km,state_cap_40km,indep_cap_40km,state_cap_60km,indep_cap_60km,dist_state_ASD_km,dist_indep_ASD_km,dist_state_SEMH_km,dist_indep_SEMH_km,dist_state_SLD_km,dist_indep_SLD_km,dist_state_MLD_km,dist_indep_MLD_km,dist_state_SLCN_km,dist_indep_SLCN_km,lea_code,la_code,la_name,region,intervention_status,n_ehcp_active,indep_placements_per1000,pct_special_independent,total_pupils,state_cap_20km_per_ehcp,indep_cap_20km_per_ehcp,state_cap_40km_per_ehcp,indep_cap_40km_per_ehcp,state_cap_60km_per_ehcp,indep_cap_60km_per_ehcp
Barking and Dagenham,12173.0,2359.0,31639.0,8494.0,41658.0,11643.0,2.593598453814728,1.343599020426067,3.5668930394049747,11.562891493948387,1.922027710965631,84.60662023063017,12.84018846223061,272.73845669166565,2.1941955958310815,14.987281308802554,301,E09000002,Barking and Dagenham,London,No intervention,2675.0,0.2644531755969086,7.2485207100591715,13470742559129818467395133726401374104833802237135314583193225199267228950319419732213470742372690145813470742559129818467395133726401374104833802237135314583193222047424056213476412047424056213476414632251992672289503194197322134707423726901458463225206258729055314398225216563113164276214511656311326131268188393191372259313191021636631641390145131425222811324411207965661656311326131268188393191372259313191021636631641390145131425222811324411207965664611452062587290553143982252165631131642762145146114214692453920349511515625712898130237382091437169160284114411437169259912531899929013982557131899823448160144314413022092146924539203495111437169259912531899929013982557131899823448160144314413022094568245682515625712898130237382091437169160284114414515321476245941480139757623751244190872551633258113029694312213614721480297185495625462878129733771851397576136310521476245941978748249562546287812973377185139757613631051480139757623751244190872551633258113029694312213614721480297185451531978748219178249991902948549802656286862983100187120717810730701429120717824841370193291931623249612869357290710714471429298187447824980265628686298310018712071781073070142912071782484137019329193162324961286935729071071447142929818719178249991902948544782445172141042572218013464104251814581996214016442387123490412422971439139329716749052692290032972562167143711049730831393445171437110425181458199621401644238712349041242297143913932971671437149052692290032972562167143711049730831393214104257221801346443916194121261871697144339453945276528995308205613513757121139399212662765289953082056135137571211393992126619412126187169714434391613757121167015742025410825812275119187411948139141112663081351375712116701574202541082581227511918741194813914111266308135387628642904329315689814341176189400612091434117617301668206328626772146119684111482189132912092939818417626793159623913876286429043293156898143411761894006120943506184176267931596239143506143411761730166820632862677214611968411148218913291209293981231852705815232346337320732973328311816388351852474433125012318527058152323464294488351851323874216485631572050119980851125247127612502836342944883518513238742164856315720501199808511252471276125028363337320732973328311816388351852474433125080281804388902251123311119081226787668323012334197521163038728170629802818023043441248234680281804388902251123311119081226787668323012331248281291248281292346211630387108180269731440431041975281706298028180230434412481081802697314404310,4.550654205607477,0.8818691588785047,11.82766355140187,3.175327102803738,15.573084112149532,4.3525233644859815
Barnet,14604.0,3878.0,32232.0,8671.0,42742.0,12664.0,4.05358493249658,6.874337528547123,8.334479890146032,5.2481609692585955,15.475207066949451,108.87986096075585,4.902865482766838,253.7467375729911,5.623177460103862,8.010368251163564,302,E09000003,Barnet,London,No intervention,3809.0,0.4068057894887094,13.20973348783314,811692564142917217513596196139594141561243781852923765531423745519648731174148116925616183811692564142917217513596196139594141561243786413478676923745511782085641429693308788098208564142969330878809700586413478676923745511718529237655314237455196487311741481169256161837005817924248611415438440806083564192181182114722597140695591574342937163275669924844086814356419302863072677480608356419218118211472259714069559157434293716327566992484408681435641930286307267747040417924248611415438440597468186419806083561625859746818641980608356162587040481234441130711305607551806525460631576543163144277041180447944163208044794441122271802150396311364964815838426172630636672254431708123444113071130560755804479444112227180215039631136496481583842617267060430636672254431707060418065254606315765431631442770411804479441632069742234318111518762112919595z1548441697262730661824538763z17827245598015913387621402163439791567511621379156751439234318111518762112919595z15484416972627306618245387637982514393084829727695z178272455980159133876214021634397915675116213791567514396974279825143930848297276957661604303082628593665z1744824656461604337359335744643075946760161157594676043023161746152955931216966068235z1513239007482358645524637346z17448246564616043373593357446430759467601611575946760430231617461529559312169660z151323900748235864552463734676616043030826285936656823567875775682501314562747061036627872018619823234236769858825011958175516215617109998121480516763232541717002342617311736501769858821601067875769858825011958175516215617109998121480536627872018619823234236167632325417170023426173117365017698588216010775682501314562747061066962594322732533744583491318772648158516451227528617007325940257533491739154831609916451227528617007325940257533491739154831609974458349131877264815856696273915483491180717701622494098010156146443516783159573915483491180717701622494098010156146443516783159559432273253316290215505217170316941215048672381078515739723810785486180317341639394181710067144873318777133356722153167345854863175525587531162902155052171703169412150486723810785157396578973458548631755255875316578972381078548618031734163939418171006714487331877713335672215316706097563316132495446527127661048542016430116811164384917763301100516655636970909715474706097563316132495446564752697090975631803113716997100561710054150082712766104854201643016475269709097563180311371699710056171005415008168111643849177633011005166556369709097154746365615670368118216455102911795666999878315691699987835661439106917428102941499801423126127887655711455699987835661439106917428102941499801423126127887655711455708683566313592410745563656156703681182164551029117956669998783156917086835663135924107455,3.8340771856130216,1.0181149908112366,8.462063533735888,2.2764505119453924,11.221317931215543,3.3247571541086898
Barnsley,3300.0,780.0,9911.0,2270.0,23454.0,5315.0,12.874742756936374,8.93863419913497,2.834801359532491,13.071737885451405,13.992708066584784,120.65938923593656,10.262138474391923,52.91484876624135,19.043788798168404,32.111495549544564,370,E08000016,Barnsley,Yorkshire and The Humber,Delivering Better Value,2752.0,1.5601174676681535,27.590511860174782,1994220767139464601994299023605509115985713022828519227174603541442129244601189070137171991598571354141994299023605509115985713022828519227174604212924460118907013717199159857119942207671394646018236209741381145318236908036426030163758530888295189353545336121684531193779235351821637585361216845311937792353518216375851823620974138114531823690803642603016375853088829518935354533545635456147562119013563438147568986357963881652147562119013563438561213643811751826736214716525855853150817218793624381652585315081721879362438353941475689863579638835394561213643811751826736214716525852412234456117738235180146164957414624213601328545614624908836426407164957431468131182818045614624908836426407164957431468131182818045635271146242136013285456352712412234456117738235180146164957414234875936296710164556831247998178545034844142342131112907450164556814234213111290745011627849514216455683124799817854503411883450116278495142164556834118834503484414234875936296710136577919367177751623576304978311695429571096842911502947013616235761365721564125754291365721564125754291365779193671777516235763049783116954295710968429115029470136162357634761347613445169707641511248113701211633251912169216301221641512169707636568702163356375922668195641569707641511248113701211633251934451121697076365687021633563759226681956415121692163012216415173982154911755405987097405858812333551182764252255118987097360455118987097360486371636575498436961128194740540585881233355118276425228637163657549843696112819474059870971739821549117554053398033980561111105907336110038162257937124771113719294141671102150711549414167110215071154941433747110590741470731480956111275925085611111059073361100381622579371247711137192941411059074147073148095611127592508337471711122118811385408156997497299525251711122118811385112522340828715417114819494081125223408613115699749729952525613174973326474971125223326010282184757611252233260102821847576287154171148194940840833264,1.1991279069767442,0.28343023255813954,3.6013808139534884,0.8248546511627907,8.522529069767442,1.9313226744186047
Bath and North East Somerset,1791.0,595.0,3629.0,1379.0,6616.0,2686.0,8.73100578072191,15.716802690217065,12.821500866508599,15.824494215600021,12.293148113691212,71.91180950951136,19.632252306903656,240.65663509807482,13.67244016720479,90.05666738523249,800,E06000022,Bath and North East Somerset,South West,No intervention,2230.0,0.7527994730403689,13.445378151260504,4635133691330057746353188146351336913300577985211211057836503116603622731005474103318814635985211211057836503116603622731005474103215124741031483105783646352731508215124741031483105783646352731508216304621011579108473247772681548477713459133825633218147771000411271084732512116264522681036462101101157910847324777268154847771000411271084732512116264522681036462101477713459133825632163046232181480710174113111096395091160849527910064501034807135621338855321782450103162611096394807279151521782450103162611096394807279151548071017411311109639509116084952791006450103323103231048071356213388553218814458416601174527464829915123223046481355613497529464810261110511745274891162055529910234458421881445841660117452746482991512464813556134975293223046481026111051174527489116205552991023445844463135041339050024431857216454406016671170362446330215046044631014710791170362502244114985883021002440601667117036244633021504244216454406044631350413390500446310147107911703625022441149858830210024403185745679684975157524050656711067619331123543759318622075143759159415752404567331174156720751437591594157524045673311741567318624567135471325249645671354713252496456796849751575240506567110676193311235437593167620253438384551135151313447620253438381263208113745514331730752126320811374551433173075245519358689208113749875210895574433123243838123243838455113515131344764551935868920811374987521089557443331676445563752223318541443216896156081117470111742132445513580129274531599042132830331811175444554702560216844551358012927453445563752223318541443216896156081117470111742132159904213283033181117543141544554702560216831415443713510128164294437482022544881474250394491426940623903561944374512581250367811314511107406233119231192443713510128164291426940623903561944374512581250344374820225448814742503944967811314511107406233057110536389217206093115544142802824413910536389217206093115544142802824413944141322612521441413056093168941399231720115528011353892112521410305714104414130560931689413992317201155280113538921441413226,0.8031390134529148,0.26681614349775784,1.6273542600896862,0.6183856502242152,2.966816143497758,1.2044843049327354
Bedford,1350.0,88.0,7704.0,1290.0,14980.0,2463.0,3.182045439028334,30.14201238500675,17.820049232940235,5.842518285827387,2.1196757681512493,140.66226401186452,24.7340584782188,194.0165203418207,25.687145335782688,27.506018441876996,822,E06000055,Bedford,East of England,No intervention,1899.0,0.1651345846865195,5.194805194805195,4396462831703114126452439064628373285294245265910264088368416219913571458696330122461574433027284245122401624846962834390640883636334363344615744330272842451224016248469628343906408836439646283170311412645243906462837328529424526591026408836841621991357145869633012245623352286624353748573281919427861775421662072145561733210442786152139973322703485710453532374617286456233521399733227034857104535323746172864562334278614595522861712514064436365584562335228662435374857328191942786177542166207214556173321043655845955228617125140644364553402781689013797410452033402786279135510632428594538167823204219861310636315954014102315217751069552282169636278452033453816359683596845203340278627913551063242859453816782320421986131063631595455340278168901379741040141023152177510695522821696362784520334538164453382726161471474972314077968379977391910194412176483099027138863092057497290508419966482614453386837993530344912726116667134583996147147497231407796837997739191019441217648309903530344912726116667445338272612713886309205749729050841996648261445338683799134583996022918043634537258620816749213155631710794759517551854106644083725816586128723717947595175518541066602291804363453725862081674921315563171034532371380329119224921805009169760225843634571079437138032911922492180500916976022584363457107943453244083725816586128723714419352761663212335369340664419352761663212335369351380329317304949764916140155227643863380381343863335276634375494931584918038137460165517589105522937617304949764916140155227643863380381343863335276634375494931584918038137460165517589105522937635138032933406633542411392129317824978754619105251728043322080382943322041280653084497830943248038297391169815257285172937516981525728517293754352412801664211859368335424332204128065308449783094324803829739143524128016642118593684113921293178249787546191052517280433220803829436144277154971239935644144612771840470779420076137327743412084670879420076137327743412084670844144612771840470743412044277634247072751143846708811918401449618373277793293432934436144277154971239935643412044277634247072751143846708811918401449618373277794267264430535346469249768860191261995297140151437526382441266026319956766823898514375305426726688601426726443053534646924976886019126199529714015143752638232484429344305137891370834532484429344305137891370834544126602631995676682389851437530542672668860142152071759442152043351309862132729717594923419903641305475414264694235433511335113782333320954312332264199065776940344754143514312332264199065776940344754143514215207175943209542354335113351137823334215204335130986213272971759492341990364130547541426469,0.7109004739336493,0.04634017904160084,4.056872037914692,0.6793048973143759,7.888362295945234,1.296998420221169
Bexley,12348.0,3456.0,32393.0,8970.0,41420.0,12354.0,3.0085600181674694,8.000875473311496,0.6736612910727198,6.478922888564049,2.800058732358151,82.72468901391008,3.7247174874313336,280.4700106999202,6.677049481187031,19.010214241647827,303,E09000004,Bexley,London,Delivering Better Value,3075.0,0.6857299595419324,12.644889357218126,2525957575100113322882232377325720724507325725122413736332222320724501371662755758823778925220441999190078925220441999190043749732572512241373633222232072450137166275575882372525957575100113322882232377325720724504374979315223812011182674251151258437803310161209445213824628752788211742511512584378033101612094452138246287527882117931522381201118264412615264085271006733108816121174251209445215264085271006733108816121174251209445244126737212248720418736212669149610231329381108159697402125457697402112694381032931082125457139976421496811597372122487204187364439969740211269438103293108212545713997642149681159443992126691496102313293811081596974021254574460366933201230538333227127271245814211635047785202651647710183322785127966693327124586693320123053833322712727124581421163504778596702202266220561658202651647710183322785127966693327124589644603702202266220561658458101623234761485265537274145869262293520409586626601765244628655376124983856323414827414581410363064587652626601458101623234761485265537274145865537612498385632341482741458141036306458692622935204095864462844645683142326120168519655281412724384732641662792468137856383413772914265094131023032647716629655282792468446456552814127243847326416627924681378563834137729142650941310230326477166296552827924686831423261201685194462464728311071338296753122831205815063124165253109584887253156647282788458312416525310958488725315664728278845848871562788458134527129253253675312283120581506446246472831107133829488715627884581345271292532533625760224923648662641406622828184646622836108553791486614028184641490554452242646903622934203504883625760224923648662641406622828184644449869036229342035048846414905544522426444498662283610855379148661402818650382295020685492626243896193356636011830262463090306360492118626243830264716503822950206854924481562624389619335663601183026471150115674492448152463090306360492118626243830264714711501156744924438356984672191189768726467866252367305744562523677132327887268630574451477962523677132327887268630574451477956984676486722724204774674438321911897687264678662523673057445648672272420477467,4.015609756097561,1.1239024390243904,10.534308943089432,2.9170731707317072,13.469918699186993,4.017560975609756
Birmingham,9968.0,1458.0,16095.0,3685.0,22646.0,5983.0,4.034171848048519,14.099755157020093,7.534341074675881,2.3040437987233617,1.0722005325859778,52.71672343226046,8.614331543380247,118.5159151464378,5.259194361522707,39.282084661133915,330,E08000025,Birmingham,West Midlands,No intervention,11040.0,0.262158320322513,4.403992953611274,808927214480297431154241123586436181053111271864441382121263293512873423025187536901157100412331579836149429741087928897149738089272144802974311542411235864361810531112718644413821212632935128734230251875369011571004123315792145652145657529211571004453244219312337130157997872301429748089272480251875148171864752921157100445324421931233713015799787230142974808927248025187514817186483614942974108792889714973832326417412293430198232433944036211048116691884420262129382843602845524726677536681204958121115328323264174122934301982324339440362110481166918844202621293828436028455247266775366812049581211153272224120495844536477241211722315329503247172934832326441226677515337188429348323264412266775153371884722241204958445364772412117223153295032471785874292934111103886164905216574858742929341111038861649052165748362359302011159087476473069868119591044559491331175800214508979200830208153209351250743160681264698681195910445594913311758002145089792008302081532093512507431606812648153209835130202884923487409383581105312418126441019210728195442179262002507433650119591011751450743365011959101175145081532098351302028849234874093835811053124181264410192107281954421792620025021553721553783623593020111590874764730819932430231121898628045536897868978114888843813507381119786913988515852430238035164300220713162721266214568214568819932430231121898628045531148888438135073811197869139885158524302380351643002207131627212668035164243003023282932265642681355310491269112664068521157805743167466852207133581114888811191398803516424300302328293226564268135531049126911266406852115780574316746685220713358111488881119139821267365584109149642829518201502838113687782282940767414137019471518509124978153982940112057850064457767414128370294026103221564316134829591494712496558410914964282951820767414128370294026103221564316134829591494712493948120673865948996823194715356210914961502136821267315028381136877822829407674141370194715185091249394812067386594899682319471535621091496150213687815398294011205785006445721477783494323428114368837514449834943234281143688375144498186163423903428264562284544200345587015274126837956181731086146886620242666454511042531770132281861634239034282645622845442003455870152741268379561817310861468866202426664545110425317701322644121104253410185506117708143132274904234288186163390242666198191268644121104253410185506117708143132274904234288186163390242666198191268214777214125612551102247371885843117288054128864461383472831313141223660823380169683131311384123472254072125746410346977916431169635848159311202145858444550347211544981845436556672366086949110224717281288214125831313113841234722540721257464103469779164311696358481593112021458556672366086949110224717281288844455034721154498184543656125511022473718858431172880541288644613834728313131412236608233801696856971134261165737900143086149110932303361460908242479145615103280342684241454312306012405816556149110932303361460908242479145615103280342684241454312306012405816554496441323060169491093230242456184241452804313426256521883649213341869017109165535839147781169544964413230601694910932302424561856971134261165737900143082125888424145280431342625652188364921334186901710916553583914778116952125885905777730715637702822898757341122693287843215038821152424493209585826573287116765771994172590577773071563770282289875734112269328784321503882115242449320952106628582657328711676577199417221066234085971660020953467612784120175579351521152478937772822573843215026938832872438117931517533408597166002095346761278412017557935152115247893777282257384321502693883287243811793151753864567929971147497481739808645679299711474974817398049164798269387191826231146355927652242997848316245515046924433226684831622244552997172711641058279351942016584226631893105281363979442345150469784979826235592058674916479826938719182623114635592765224299784831624551504692443322662058678483162224455299717271164105827935194201658422663189310528136397944234515046978497982623559,0.9028985507246376,0.13206521739130433,1.4578804347826086,0.333786231884058,2.051268115942029,0.5419384057971014
Blackburn with Darwen,2981.0,1516.0,15924.0,4549.0,27421.0,6933.0,12.578785361600337,12.03739303097642,15.712225852163323,5.918481952549013,16.646869490234348,115.5237753845266,3.2516600106554323,28.032892615001767,12.288662673245035,44.42238395836039,889,E06000008,Blackburn with Darwen,North West,Delivering Better Value,1322.0,0.6014368573688372,14.959016393442624,20015931062521233730592221210185421105946394302161126410431752355958721755032592223521226293592522001591062646464105930344587217550325922235212262935925220015910626464641059200159310625212337305922212101854211059463943021611264104317523559303442060109252155951185946920601092521559511859469209285275157021179142120375528327510187545909215102157171068455543171590268106113422958557313450715909229215261125827520375583268677810685573134507159092292152611258275203755832686778106820375528327510187545909215102157171068455543171590268106113422958209285275157021179142130366303662009792851525612135370195653z7928510067355854224635572210804546348519652661873106207572009792851525612135370195653z7928510067355854224635572210804546348519652661873106207575552106422058542072242600z57285195653792667595108030134555230134106422058542072242600z572851956537926675951080548881417358692022202549z5226817724674262761711281818742681535511951335177246z7426898973658692206385775112844993437191126218428120252177246z742689897365869220638577511284499343719112621842812025229801181874268153551195133529801548881417358692022202549z52268177246742627617112817514851062789777085841217637574311404456334918802241846691914017991112781526311755300179911127815263117553002950617514810622475891140543369405758411912172517540278175148106224758911402950618802241846691914017514851062789777085841217637574311404456334954336940575841191217251754027818094341272819747135960215638585911934357323518242101809711784153317139485960178215246244128118094312721076681193533171394859601782152462441281180943127185213128115552114352909747135960215638585911934357323518242101809711784118521312811555211435290210766811932954118094341272812954129333434838865996167111466237231282931827441361967556127318711672931565811083261182744136196755612732933312733365313889117351961758167662818274431136293983748599622363757981827443113629398374859962236375798127333653138891173519617581676628187116729315658110832614348388659961671114662372312829319932433021568010767239194548133168790512951945481101333029773626023236605618212953194313489116571681723157582441713496602315711275822621102430241713496602315711275822621102430219454813316879051295199324330215680107672392922419454811013330297736260232366056182129531943134891165716817231575824292241971432016628593336460882375136184135531073152863154714817311526421197143201662859333646088237513618413553107315286315471481731152642120141862851567410548237201418628515674105482374040351660881521100642060202128519714316614879151355289444040351660881521100642060202128519714316614879151355289444027242171911471045651921313299199046170116781514061990463170299924392609422942160941406310320291097816203617329915560103822259242036173299155601038222519904631702991500116172114765133926094229421609414063103202910978161500116172114765132867540272421719114710456519213132991990461701167815140628675,2.254916792738275,1.146747352496218,12.045385779122542,3.440998487140696,20.742057488653554,5.2443267776096825
Blackpool,1104.0,260.0,4614.0,1705.0,15473.0,4300.0,17.616462270733567,30.957315539096065,5.006065203184148,2.805512146964749,49.5124545064159,128.7948691053248,0.9143776383913812,61.27062571609712,42.98450253648085,41.402727293359995,890,E06000009,Blackpool,North West,No intervention,1462.0,0.9547258931711974,12.17948717948718,130114397643600731613062036173161308583101611973452405485910812154019901859620361339030381215452108401197345240548591081215407316130620361731613085831016859620361339030381215452108401990189891301143976436008611511591771559371151156294997226416693673389317611503302135096833304173226421311505071151151669367968333041732264213115050711511516693677115115629499722641669367338931761150330213508611511591771559320100201009076116587640581791176630199022259716813643361317411053222194090761165876405817911766301990222597168136433613174110532221940966232241642225219120240791176168136420045200459662322416422252191202407911761681364925832041632221230991353515972085361509711619746058535159758779822221932085361338131818983202303535159758779822221932085361338131818983202303519811509711619746058519811925832041632221230991353515972085361141285910941220094208537833963139684304222201412811608721954614128116087219546195159306304408022002227782014128208537893063044080220022277820141282085378195151412859109412200942085378339631396843042222081846074101622501072090405340531554632912039479291417122502035708184209040581841194270234948184607410162250107209040534053155463291203818411942702349494792914171225020357081842090405196511965119435947727542222236188343201208640720111958681346394772754222223618834320120864071943520160811036223611220864073396318623127518820160811036223611220864073396318623127518820111958681346322511747659443092672554234220217512522520904232255862104522021252090423340531892551759267255423422021751252252090423225117476594430189962255862104522021252090423340531892551751899622554491037252912720744263488323523015722554491037252912720744263488323523015722511642672338722511642672338789372304272252915712722520744261897789372304272252915712722520744261897787062023238387714412420020874271169367663462002001169367663462005174103228491242087427353222061028202144200517410322849124208742735322206102820214419005870620232383877144124200208742719005,0.7551299589603283,0.17783857729138167,3.1559507523939807,1.1662106703146375,10.58344733242134,2.9411764705882355
Bolton,8710.0,2096.0,20884.0,5469.0,27853.0,7595.0,4.348937692964894,13.490915904980291,6.97062478505515,1.8793305842895613,4.126641995537272,98.24215664181811,2.4942174449580454,13.719674861139646,3.1802233935372137,33.4099829707366,350,E08000001,Bolton,North West,Delivering Better Value,3304.0,0.5342530013725524,10.1401483924155,1291312396456143712446125072061614116771857406715226042627441101587310561129131239645614371244612507206161411677185740671522604262744110158731056157557131181334411013294165135872772239129310561604983316141311813344110132941651358727722391293105616049833161431661291312393040922354112957557316612913123930409223541129310610312222130473221981086561031222215672142012638125179021590106811862406115315423521409975805730930505610312222156721420126381251790215901068118624061153154235214099758031061031222213047322198108612216353409973282166995802782221103305056542114231590122163534099732821669958027822211033050565421142315905730930503327871032913033621813103732626587103291543813641258312358148156810635182140071337491352239288557352239288557103160733928831851659055725722918732626549111670156856994103160733928831851659055725722918732626549111670156832626587103291543813641258312358148156810635182140071337491569943327871032913033621813103732705596284302932135797913651250412648129154910597174639311156394353337085524116621549563343217535596284548213651250412648129154910597174639311156394353337085524563343270559628430293213579799616079370853111164355242420284553217533949616079370853111164355242420284553217533941166215493217535596284548234179304416380479218030258312551235115741553971606631765897302303012073189931765897302303012073189955564312551589730255221346125651205811015531054416983815975235346434179479312551589730255221346125651205811015531054416983815975235346434179479971606634179304416380479218030258312551235115741553555647545929003857160343514013941313711158313158010523161736867801673368308551601601566330875301116823459189534357290038167116811580293857160343306792014184229003857160343514013941313711158313158010523161736867801673368308754592938571603433067920141842551601601566330875301116823459189534357290038167116811580544273165521513723048719427773327126672435544271511543626672274416578435157537252313431158118491574313431521513723134315215137251431178130179978578157410293156635615781583271266724355143117813017997857815741029315663561578158151154362667227441657843515753725231343115811849157431655215137230487194277731367870322017081637132638451314024211121361569314024511703844714566136728258922156989642654340950121132147063731645117038430268189537073164511703843026818953707314024511703844714566170136787032201708163713263845131402421112136156953697136728258922156989642654340917053697501211321470637315029481433444484525135136149187158332332552450938090360584517086665414377176630771802265499490344483150293601503232913150294814334444845251351361491871583323325524509380903605845170866654143771766307718022654994903444831502936015032329153017317948143344299061867772031794814334429906186777205301730163415140428075241389937294921929189524815191264932416460175464565301634151404290231837971051717470230051909064565636934043430161512411595236833016341514042807524138993729492192918952481519126493241646017546456530163415140429023183797105171747023005190906456563693404343016151241159523683,2.6361985472154963,0.6343825665859564,6.3208232445520585,1.6552663438256658,8.430084745762711,2.2987288135593222
