la_code,la_name,region,intervention_status,n_ehcp_active,imd_average_score,topup_independent,topup_total,ep_service,sen_admin,sen_transport,indep_placements_per1000,pct_special_independent,dist_state_ASD_km_lsoa_mean,dist_state_SEMH_km_lsoa_mean,dist_state_SLD_km_lsoa_mean,dist_state_MLD_km_lsoa_mean,dist_state_SLCN_km_lsoa_mean,dist_indep_ASD_km_lsoa_mean,dist_indep_SEMH_km_lsoa_mean,dist_state_ASD_km_lsoa_sd,dist_state_SEMH_km_lsoa_sd,dist_state_SLD_km_lsoa_sd,dist_state_MLD_km_lsoa_sd,dist_state_SLCN_km_lsoa_sd,dist_indep_ASD_km_lsoa_sd,dist_indep_SEMH_km_lsoa_sd,dist_state_ASD_km_lsoa_max,dist_state_SEMH_km_lsoa_max,dist_state_SLD_km_lsoa_max,dist_state_MLD_km_lsoa_max,dist_state_SLCN_km_lsoa_max,dist_indep_ASD_km_lsoa_max,dist_indep_SEMH_km_lsoa_max,pop_spread_km,pct_asd,pct_semh,pct_sld,pct_mld,pct_slcn,total_pupils,indep_per_ehcp,total_per_ehcp,indep_per_pupil,ehcp_rate_pct
E08000030,Walsall,West Midlands,Delivering Better Value,4508.0,31.555,15658687.0,48608638.0,1741803.0,1887111.0,7405870.0,0.7593975446146057,13.669650122050449,5.393259457375989,3.1088249574031823,4.356854718716828,3.2114954816865335,7.232870674873197,15.457939520367027,11.828337003469711,2.5125564764071955,1.5005724264760254,2.57702085148563,1.7464290583457327,2.1495835641524352,2.6347723023069443,1.9402129641984758,9.279549865475927,6.695789803036517,10.165969310878097,7.089451017765356,11.941352725627823,19.063010223206444,14.772565409587616,4.178964592830296,18.5,23.1,5.2,11.9,25.0,4319896.0,3473.5330523513753,10782.750221827862,3.624783328117158,0.10435436408654283
E08000024,Sunderland,North East,Delivering Better Value,2790.0,30.586,8156999.0,28750701.0,212044.0,741916.0,4865312.0,0.5265399815415197,7.80701754385965,3.07530828402032,8.632489382679159,3.852111080735807,136.1434805146818,5.767240446115852,4.57161941783917,16.67132347092159,1.609413608798723,3.013971601555722,1.8361877217365132,3.248966793167838,2.6519431669520395,2.527609767797414,2.1791053250252563,6.808083483648343,16.92675005377881,7.640955386828778,142.1622358107872,10.836791360051668,9.688324336933889,21.411041303431812,4.762945579817886,33.6,22.6,5.7,7.8,19.2,3345816.0,2923.6555555555556,10304.910752688173,2.437969989981517,0.08338772963008127
E10000016,Kent,South East,Safety Valve,19407.0,22.4,91263988.0,249942453.0,5563446.0,12239161.0,63954857.0,1.385138753966114,19.062142584826535,9.331887071700423,15.237507046011075,20.16484852952043,36.441199307558485,8.85822289895318,12.456889437312677,10.562101219137327,6.596513990969261,11.398231179730589,12.032451056085515,19.6659827491553,5.945816939385054,6.0096124538861595,7.343377758266525,26.61361843648649,44.81157651258502,57.22377052241461,71.9355838972845,25.30472074108194,33.34267186582363,26.8078147501635,31.53405920715658,46.2,18.6,3.9,5.0,17.4,20735496.0,4702.632452207966,12878.984541660226,4.401340966234905,0.09359313131453427
E10000011,East Sussex,South East,Safety Valve,4529.0,21.4,21938289.0,53183223.0,1409729.0,5927719.0,18864113.0,0.8577263444520082,13.382899628252789,8.860495093111776,18.669218346029965,46.6375195483367,41.34184768569471,8.735567840299858,32.32846300428865,10.992595994585699,7.534253625876834,9.65212975886851,10.91470969196616,11.03392394905155,7.208621007049278,9.406280573011596,4.368064159742578,27.104800359241295,36.777360244975455,61.55281469016613,59.272526364439486,27.469055557609497,42.58962523319194,24.006957492266416,16.95557530070599,40.4,16.9,2.1,12.1,17.2,5912224.0,4843.958710532126,11742.818061382204,3.710666070838994,0.07660399876594662
E09000028,Southwark,London,No intervention,3226.0,25.811,16784269.0,58444003.0,1710225.0,2535334.0,5651306.0,0.5823836806648618,12.265193370165743,1.4446963201894218,1.5181648479666676,5.95822726122972,7.566977977467086,4.541266463665406,7.108304647356669,2.8548888528966834,0.6952975893664342,0.8165113289600245,1.801297472548557,1.5123809996622537,0.9677004674785132,0.7967734733229515,1.3663744595173954,3.0515182352612125,4.242476737412229,11.465962932064846,10.633987078096721,6.376813080562467,9.115813089697161,7.375093996993322,2.33072088572195,53.7,14.6,1.0,10.0,11.0,3893184.0,5202.81122132672,18116.553936763794,4.311193357416449,0.08286276733902123
E09000017,Hillingdon,London,Delivering Better Value,3503.0,18.223,16279656.0,61369465.0,989254.0,2484954.0,10646125.0,0.7652926584683591,14.439834024896264,3.3306277683495655,4.799064916412116,22.21532889070983,6.32194848623792,3.48096454318951,4.0499594666541014,9.085079195486186,2.1205474352629428,1.9184222435140448,3.034155426748832,2.3685296261621778,1.7409253011228865,2.534177685612416,2.0335905583051948,9.633741874761185,9.82859976556187,27.130617798711636,11.892544328555301,7.434578963768543,10.355517773450805,15.530899186206574,4.2323285399958674,53.2,8.8,2.8,6.0,18.7,4527200.0,4647.346845560948,17519.116471595775,3.595965718324792,0.07737674500795193
E09000023,Lewisham,London,No intervention,3558.0,26.661,16075156.0,62020191.0,1780233.0,1476537.0,7649585.0,1.3212273011897309,18.65605658709107,2.613150205942647,3.078777066602943,8.2384672106494,7.969096478778606,2.7596073649229758,8.062619155171332,3.491527695328278,1.000623591858421,1.291276539424986,2.1105372579205057,1.327577882084774,1.3126122379660947,0.9904685353353625,1.4260533800957949,4.2073875954527615,6.825091836032759,11.696641049972664,10.39142593426519,5.405790727541509,9.8544909015368,7.031417715009913,2.623635763775709,35.4,13.2,5.2,3.3,30.6,3328320.0,4518.031478358628,17431.194772344013,4.829810835496587,0.10690077877127199
E10000028,Staffordshire,West Midlands,No intervention,7490.0,21.8,40214636.0,102909075.0,2963525.0,5363899.0,24933730.0,1.16358684781438,18.0381633870006,9.572298420687122,11.234981961415963,14.149378835814192,14.242057482473783,10.056696754519296,9.981540760799602,9.265156032342446,5.9810961907695805,4.368522752225571,7.736366612666645,6.822425284425527,6.46227209395327,5.895149195563639,4.023990828792596,25.692144625634857,24.567746600182176,32.668917665254284,34.269237312337296,27.181945864579607,26.274039814575364,19.7364221175678,23.256715531990963,24.9,20.1,1.3,16.0,26.2,10114624.0,5369.110280373832,13739.529372496661,3.975890354401706,0.07405119557583159
E08000025,Birmingham,West Midlands,No intervention,11040.0,38.067,22966871.0,142989686.0,3981795.0,11230325.0,62846179.0,0.262158320322513,4.403992953611274,3.4256863618139195,5.968876795695687,4.805855107681537,6.2004459907792535,4.153233560675202,12.477687685629853,4.3280973803410125,1.5552108687155148,2.2915021237215707,2.576952666446547,2.251241395946857,2.080594158888895,2.759294039691631,2.3529682467476603,6.622782565195028,10.93139831884999,12.395398474218815,11.10923960512736,9.828529575795923,18.91243615496087,11.575058754455636,6.7307126004959335,38.9,12.5,2.3,10.1,18.6,17055488.0,2080.332518115942,12951.964311594204,1.3465971187690438,0.06472989808324453
E08000017,Doncaster,Yorkshire and The Humber,Delivering Better Value,2646.0,30.289,21765566.0,43981425.0,986708.0,1140069.0,7586126.0,0.6687987770536649,14.53551912568306,10.070672414873977,18.52675180175448,5.161346238206911,7.565962441803528,16.580622191161066,14.883036056643386,26.52946974640338,4.3641415925397515,5.137732773630742,2.8439240917391735,4.061392128479082,3.8953620020145703,4.997598894471521,3.8405663641046903,19.27748152544043,33.66673030204508,12.239555952586713,18.896998488316456,25.73997574376675,26.671098899097263,35.764634103712524,7.409893378784382,31.3,18.3,3.9,6.7,27.9,3893472.0,8225.837490551776,16621.853741496598,5.590271613613762,0.06795990827723944
