la_code,la_name,region,intervention_status,n_requests,n_requests_refused,n_ehcp_active,n_plans_issued,refusal_rate_pct,timeliness_pct,n_tribunal_appeals,n_total_appealable_decisions,la_official_appeal_rate_pct,dsg_deficit_per_pupil,imd_average_score,flag_high_refusal,flag_low_timeliness,is_small_la
E08000030,Walsall,West Midlands,None,1103.0,668.0,4508.0,457.0,60.56210335448776,84.2,3455.0,,4.8,250.0,33.3,True,False,False
E08000024,Sunderland,North East,Delivering Better Value,578.0,343.0,2790.0,220.0,59.34256055363322,77.7,1939.0,,5.6,,34.1,False,False,False
E10000016,Kent,South East,Safety Valve,4001.0,2200.0,19407.0,2424.0,54.986253436640844,32.3,14675.0,,10.6,920.0,22.4,False,False,False
E10000011,East Sussex,South East,None,1107.0,594.0,4529.0,420.0,53.65853658536586,81.9,3602.0,,14.3,680.0,21.4,False,False,False
E09000028,Southwark,London,Safety Valve,738.0,352.0,3226.0,461.0,47.696476964769644,36.7,1906.0,,6.3,,31.8,False,False,False
E09000017,Hillingdon,London,Safety Valve,685.0,304.0,3503.0,361.0,44.37956204379562,89.2,2375.0,,6.0,,22.3,False,False,False
E09000023,Lewisham,London,Delivering Better Value,646.0,281.0,3558.0,,43.4984520123839,,2080.0,,4.9,,30.4,False,False,False
E10000028,Staffordshire,West Midlands,None,2260.0,953.0,7490.0,947.0,42.16814159292036,35.3,4806.0,,9.1,,21.8,False,False,False
E08000025,Birmingham,West Midlands,Delivering Better Value,2493.0,1044.0,11040.0,1382.0,41.87725631768953,26.7,8639.0,,7.4,710.0,40.5,False,False,False
E08000017,Doncaster,Yorkshire and The Humber,Delivering Better Value,795.0,326.0,2646.0,456.0,41.0062893081761,84.9,1946.0,,5.8,,33.5,False,False,False
E08000016,Barnsley,Yorkshire and The Humber,Safety Valve,718.0,294.0,2752.0,363.0,40.947075208913645,96.7,2184.0,,3.7,,34.2,False,False,False
E06000006,Halton,North West,Delivering Better Value,492.0,200.0,1524.0,208.0,40.65040650406504,58.2,1036.0,,3.2,,33.5,False,False,False
E08000029,Solihull,West Midlands,Delivering Better Value,485.0,195.0,2301.0,258.0,40.20618556701031,53.1,1704.0,,9.4,180.0,17.4,False,False,False
E06000050,Cheshire West and Chester,North West,None,1066.0,421.0,3339.0,487.0,39.493433395872415,15.4,1885.0,,5.7,,17.8,False,False,False
E06000024,North Somerset,South West,Safety Valve,1092.0,431.0,2114.0,625.0,39.46886446886447,63.0,2055.0,,4.6,,16.8,False,False,False
E06000025,South Gloucestershire,South West,Safety Valve,825.0,324.0,2814.0,449.0,39.27272727272727,58.1,2101.0,,6.1,,12.4,False,False,False
E10000027,Somerset,South West,Delivering Better Value,1207.0,473.0,5108.0,567.0,39.18806959403479,33.5,3816.0,,10.0,420.0,15.1,False,False,False
E06000015,Derby,East Midlands,None,769.0,300.0,3564.0,442.0,39.01170351105331,14.0,1482.0,,12.8,,28.8,False,False,False
E06000063,Cumberland,North West,Delivering Better Value,718.0,278.0,2656.0,378.0,38.71866295264624,42.1,,,,,27.1,False,False,False
E06000040,Windsor and Maidenhead,South East,Delivering Better Value,302.0,116.0,1199.0,127.0,38.41059602649007,100.0,1004.0,,11.1,-60.0,10.2,False,False,False
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Delivering Better Value,719.0,276.0,3410.0,400.0,38.38664812239222,96.0,3029.0,,2.0,,16.2,False,False,False
E06000034,Thurrock,East of England,Delivering Better Value,666.0,254.0,2319.0,288.0,38.13813813813814,48.3,1135.0,,3.3,340.0,24.7,False,False,False
E10000019,Lincolnshire,East Midlands,None,1914.0,724.0,7607.0,1099.0,37.82654127481714,99.0,6444.0,,2.9,,20.5,False,False,False
E09000029,Sutton,London,None,607.0,221.0,2304.0,366.0,36.40856672158155,76.5,2216.0,,4.1,,16.2,False,False,False
E10000008,Devon,South West,Safety Valve,2265.0,819.0,8873.0,1277.0,36.15894039735099,3.2,8007.0,,5.0,540.0,18.0,False,True,False
E08000012,Liverpool,North West,None,2388.0,847.0,5820.0,1285.0,35.46901172529313,97.9,4476.0,,7.8,380.0,45.1,False,False,False
E08000006,Salford,North West,Safety Valve,946.0,331.0,3206.0,461.0,34.98942917547569,50.1,2407.0,,4.0,,34.5,False,False,False
E10000030,Surrey,South East,Safety Valve,3022.0,1050.0,14245.0,2134.0,34.74520185307743,40.6,,,,1240.0,11.2,False,False,False
E09000022,Lambeth,London,None,752.0,261.0,3332.0,423.0,34.70744680851064,83.9,1682.0,,2.6,,31.2,False,False,False
E06000036,Bracknell Forest,South East,Safety Valve,312.0,106.0,1469.0,206.0,33.97435897435898,45.1,854.0,,12.4,370.0,14.1,False,False,False
E06000037,West Berkshire,South East,Delivering Better Value,475.0,160.0,1531.0,269.0,33.68421052631579,48.0,827.0,,7.7,,11.4,False,False,False
E06000041,Wokingham,South East,Safety Valve,471.0,158.0,1948.0,251.0,33.54564755838641,56.2,1155.0,,8.7,-90.0,7.9,False,False,False
E08000002,Bury,North West,Safety Valve,560.0,184.0,2686.0,296.0,32.857142857142854,99.0,1546.0,,4.2,,24.2,False,False,False
E06000022,Bath and North East Somerset,South West,Safety Valve,475.0,156.0,2230.0,349.0,32.8421052631579,24.1,995.0,,5.0,,15.3,False,False,False
E06000031,Peterborough,East of England,None,685.0,223.0,2625.0,389.0,32.55474452554745,86.1,1444.0,,3.4,450.0,31.4,False,False,False
E08000037,Gateshead,North East,None,363.0,118.0,1686.0,266.0,32.5068870523416,82.3,1186.0,,11.2,,30.4,False,False,False
E09000013,Hammersmith and Fulham,London,Safety Valve,320.0,104.0,1700.0,172.0,32.5,84.9,1186.0,,3.0,,23.4,False,False,False
E06000055,Bedford,East of England,None,473.0,153.0,1899.0,355.0,32.346723044397464,73.0,1476.0,,1.8,,20.3,False,False,False
E09000014,Haringey,London,Safety Valve,553.0,176.0,2833.0,219.0,31.82640144665461,82.6,1487.0,,8.3,,33.7,False,False,False
E06000056,Central Bedfordshire,East of England,Delivering Better Value,944.0,300.0,3541.0,649.0,31.779661016949152,42.5,4894.0,,2.9,,13.1,False,False,False
E08000018,Rotherham,Yorkshire and The Humber,Safety Valve,959.0,304.0,3310.0,535.0,31.69968717413973,79.3,2125.0,,4.6,,31.8,False,False,False
E06000047,County Durham,North East,Delivering Better Value,1009.0,316.0,4501.0,920.0,31.318136769078297,16.6,3124.0,,11.0,,29.4,False,False,False
E06000002,Middlesbrough,North East,Delivering Better Value,436.0,135.0,1872.0,306.0,30.963302752293576,98.0,1442.0,,1.6,,41.2,False,False,False
E09000018,Hounslow,London,Safety Valve,699.0,214.0,3100.0,398.0,30.61516452074392,77.9,2525.0,,3.9,,24.6,False,False,False
E10000032,West Sussex,South East,Delivering Better Value,2448.0,744.0,7684.0,1495.0,30.392156862745097,11.4,4154.0,,8.4,710.0,14.5,False,False,False
E10000007,Derbyshire,East Midlands,None,2713.0,805.0,6354.0,1253.0,29.671949870991522,35.7,3810.0,,14.1,610.0,22.1,False,False,False
E08000011,Knowsley,North West,None,674.0,199.0,2275.0,449.0,29.52522255192878,55.2,1297.0,,5.2,,43.3,False,False,False
E08000034,Kirklees,Yorkshire and The Humber,Safety Valve,771.0,227.0,4125.0,785.0,29.442282749675748,22.9,1984.0,,4.6,340.0,28.7,False,False,False
E08000032,Bradford,Yorkshire and The Humber,None,2331.0,671.0,6474.0,1337.0,28.78592878592879,88.9,3522.0,,7.9,460.0,37.2,False,False,False
E06000043,Brighton and Hove,South East,None,466.0,134.0,2489.0,302.0,28.75536480686695,98.0,1552.0,,5.1,,25.1,False,False,False
E06000038,Reading,South East,Delivering Better Value,515.0,148.0,1954.0,304.0,28.7378640776699,61.5,,,,,24.6,False,False,False
E10000013,Gloucestershire,South West,Delivering Better Value,1625.0,457.0,5876.0,910.0,28.123076923076923,26.3,4898.0,,5.5,520.0,16.2,False,False,False
E06000057,Northumberland,North East,None,1021.0,285.0,3310.0,743.0,27.913809990205678,46.8,2575.0,,2.3,,24.6,False,False,False
E06000020,Telford and Wrekin,West Midlands,None,487.0,135.0,2124.0,334.0,27.720739219712527,83.5,1399.0,,7.3,,26.1,False,False,False
E09000006,Bromley,London,None,1062.0,290.0,4071.0,719.0,27.30696798493409,45.3,2954.0,,7.2,,15.8,False,False,False
E08000009,Trafford,North West,None,515.0,139.0,2939.0,380.0,26.990291262135923,53.4,1996.0,,2.2,,17.9,False,False,False
E06000013,North Lincolnshire,Yorkshire and The Humber,None,416.0,112.0,1454.0,188.0,26.923076923076923,18.6,1003.0,,0.9,,25.4,False,False,False
E06000001,Hartlepool,North East,None,232.0,62.0,859.0,122.0,26.72413793103448,74.6,672.0,,3.3,,36.9,False,False,False
E09000027,Richmond upon Thames,London,Safety Valve,336.0,89.0,1842.0,260.0,26.488095238095237,94.2,1363.0,,3.0,-120.0,9.1,False,False,False
E08000007,Stockport,North West,Delivering Better Value,859.0,225.0,3115.0,575.0,26.193247962747378,7.8,2030.0,,3.9,,19.8,False,False,False
E08000023,South Tyneside,North East,Delivering Better Value,338.0,86.0,1707.0,171.0,25.443786982248522,62.6,1409.0,,4.0,,33.6,False,False,False
E08000010,Wigan,North West,None,1020.0,259.0,2966.0,628.0,25.392156862745097,42.0,2099.0,,2.5,,27.4,False,False,False
E09000004,Bexley,London,Safety Valve,796.0,201.0,3075.0,517.0,25.251256281407038,66.7,2078.0,,2.3,,18.6,False,False,False
E08000026,Coventry,West Midlands,None,1144.0,288.0,3062.0,686.0,25.174825174825177,61.8,2494.0,,4.9,310.0,32.3,False,False,False
E10000023,North Yorkshire,Yorkshire and The Humber,Delivering Better Value,1234.0,306.0,4927.0,678.0,24.79740680713128,24.6,4130.0,,6.6,380.0,14.2,False,False,False
E09000012,Hackney,London,Delivering Better Value,622.0,153.0,3525.0,465.0,24.59807073954984,40.0,1835.0,,3.9,,38.2,False,False,False
E09000033,Westminster,London,None,208.0,51.0,1413.0,140.0,24.519230769230766,98.6,283.0,,14.1,,26.4,False,False,False
E06000014,York,Yorkshire and The Humber,Safety Valve,427.0,103.0,1348.0,236.0,24.121779859484775,64.8,1066.0,,3.1,,17.1,False,False,False
E09000005,Brent,London,Delivering Better Value,705.0,170.0,3500.0,473.0,24.113475177304963,79.5,1698.0,,2.7,,34.1,False,False,False
E08000005,Rochdale,North West,Delivering Better Value,755.0,182.0,2829.0,415.0,24.10596026490066,40.7,1772.0,,2.5,,34.1,False,False,False
E06000033,Southend-on-Sea,East of England,None,569.0,137.0,1737.0,299.0,24.077328646748683,16.1,1344.0,,3.6,290.0,25.3,False,False,False
E06000021,Stoke-on-Trent,West Midlands,Safety Valve,788.0,189.0,2970.0,559.0,23.98477157360406,32.9,2421.0,,4.3,370.0,37.9,False,False,False
E06000058,"Bournemouth, Christchurch and Poole",South West,Delivering Better Value,1230.0,295.0,3769.0,784.0,23.983739837398375,74.1,,,,-287.0,20.4,False,False,False
E10000017,Lancashire,North West,None,3658.0,876.0,11258.0,1720.0,23.947512301804263,17.3,5032.0,,6.6,,27.3,False,False,False
E08000003,Manchester,North West,None,2305.0,546.0,7798.0,1657.0,23.68763557483731,63.5,5110.0,,2.1,530.0,42.1,False,False,False
E09000019,Islington,London,None,511.0,121.0,2035.0,295.0,23.679060665362034,78.6,1548.0,,7.5,,34.5,False,False,False
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,None,811.0,192.0,2982.0,500.0,23.674475955610358,5.8,1209.0,,5.6,,,False,False,False
E06000005,Darlington,North East,Safety Valve,245.0,58.0,1026.0,172.0,23.6734693877551,72.1,700.0,,1.1,,28.3,False,False,False
E06000018,Nottingham,East Midlands,None,579.0,137.0,2115.0,294.0,23.661485319516405,29.9,1451.0,,3.6,490.0,40.8,False,False,False
E10000015,Hertfordshire,East of England,None,3343.0,775.0,11897.0,1781.0,23.182769967095425,55.2,2195.0,,27.9,950.0,13.8,False,False,False
E06000052,Cornwall,South West,Delivering Better Value,1351.0,305.0,4163.0,914.0,22.575869726128794,7.4,3025.0,,4.1,,22.8,False,False,False
E10000014,Hampshire,South East,Delivering Better Value,3932.0,887.0,15994.0,2340.0,22.55849440488301,41.0,12380.0,,5.3,820.0,14.6,False,False,False
E08000004,Oldham,North West,Delivering Better Value,865.0,194.0,3336.0,408.0,22.427745664739884,85.8,2441.0,,4.1,,34.6,False,False,False
E06000061,North Northamptonshire,East Midlands,None,1329.0,295.0,3819.0,930.0,22.197140707298722,21.4,,,,,,False,False,False
E09000016,Havering,London,Delivering Better Value,899.0,193.0,2583.0,439.0,21.46829810901001,29.4,1858.0,,3.2,,18.9,False,False,False
E06000049,Cheshire East,North West,Delivering Better Value,900.0,193.0,4576.0,438.0,21.444444444444443,47.0,3310.0,,4.2,380.0,14.3,False,False,False
E09000030,Tower Hamlets,London,Delivering Better Value,887.0,189.0,4463.0,593.0,21.307779030439683,39.3,1901.0,,3.4,,44.8,False,False,False
E09000009,Ealing,London,None,840.0,177.0,3720.0,522.0,21.071428571428573,71.3,2748.0,,2.7,,26.4,False,False,False
E06000009,Blackpool,North West,Safety Valve,423.0,89.0,1462.0,220.0,21.04018912529551,60.5,,,,,43.2,False,False,False
E08000019,Sheffield,Yorkshire and The Humber,None,1211.0,253.0,5365.0,670.0,20.891824938067714,49.0,4022.0,,7.1,380.0,31.2,False,False,False
E09000003,Barnet,London,None,1026.0,214.0,3809.0,747.0,20.857699805068226,100.0,2257.0,,7.1,,19.3,False,False,False
E06000062,West Northamptonshire,East Midlands,None,1430.0,296.0,3531.0,711.0,20.6993006993007,10.8,,,,,,False,False,False
E08000027,Dudley,West Midlands,Delivering Better Value,888.0,181.0,3628.0,501.0,20.382882882882882,49.1,2371.0,,6.4,220.0,28.1,False,False,False
E09000024,Merton,London,Safety Valve,594.0,121.0,2587.0,402.0,20.37037037037037,73.9,2315.0,,2.0,,19.5,False,False,False
E06000019,"Herefordshire, County of",West Midlands,None,531.0,108.0,1461.0,334.0,20.33898305084746,67.4,,,,,,False,False,False
E09000010,Enfield,London,Delivering Better Value,1023.0,208.0,4741.0,706.0,20.332355816226784,85.4,3377.0,,2.3,,27.1,False,False,False
E08000001,Bolton,North West,Safety Valve,732.0,148.0,3304.0,563.0,20.21857923497268,71.4,1712.0,,2.8,,30.8,False,False,False
E10000012,Essex,East of England,None,4255.0,852.0,13035.0,1833.0,20.023501762632197,16.2,9061.0,,7.8,870.0,19.7,False,False,False
E06000059,Dorset,South West,Safety Valve,881.0,175.0,3916.0,585.0,19.863791146424518,49.1,,,,280.0,13.8,False,False,False
E06000051,Shropshire,West Midlands,None,833.0,163.0,2496.0,720.0,19.56782713085234,37.2,1964.0,,2.6,310.0,16.7,False,False,False
E06000030,Swindon,South West,Delivering Better Value,548.0,107.0,2573.0,247.0,19.525547445255476,49.4,1837.0,,5.0,490.0,20.1,False,False,False
E09000032,Wandsworth,London,None,574.0,111.0,2988.0,406.0,19.337979094076655,100.0,2162.0,,4.0,,19.1,False,False,False
E09000020,Kensington and Chelsea,London,Delivering Better Value,127.0,24.0,786.0,98.0,18.89763779527559,99.0,199.0,,13.1,,17.1,False,False,False
E09000025,Newham,London,Delivering Better Value,1008.0,190.0,2705.0,476.0,18.849206349206348,57.6,386.0,,17.6,,43.8,False,False,False
E06000032,Luton,East of England,None,578.0,108.0,2585.0,377.0,18.685121107266436,29.4,1855.0,,1.5,,32.8,False,False,False
