la_code,la_name,region,intervention_status,n_requests,n_requests_refused,n_ehcp_active,n_plans_issued,refusal_rate_pct,timeliness_pct,n_tribunal_appeals,n_total_appealable_decisions,la_official_appeal_rate_pct,dsg_deficit_per_pupil,imd_average_score,flag_high_refusal,flag_low_timeliness,is_small_la,dsg_financial_stress_per_pupil,dsg_balance_2324,dsg_deficit_per_pupil,n_timely_plans,throughput_stress,throughput_stress_z
E08000030,Walsall,West Midlands,,1103.0,668.0,4508.0,457.0,60.56210335448776,84.2,3455.0,,4.8,250.0,31.555,True,False,False,-33.44929665322653,7399921.0,-33.44929665322653,384.79400000000004,2.866468811883761,-0.41257941279146415
E08000024,Sunderland,North East,Delivering Better Value,578.0,343.0,2790.0,220.0,59.34256055363322,77.7,1939.0,,5.6,,30.586,False,False,False,-53.66217431431479,9070410.0,-53.66217431431479,170.94,3.3813033813033813,-0.3566902304925579
E10000016,Kent,South East,Safety Valve,4001.0,2200.0,19407.0,2424.0,54.98625343664085,32.3,14675.0,,10.6,920.0,22.4,False,False,False,-62.02411711255822,67167405.0,-62.02411711255822,782.952,5.1101472376339805,-0.16901116775648312
E10000011,East Sussex,South East,,1107.0,594.0,4529.0,420.0,53.65853658536586,81.9,3602.0,,14.3,680.0,21.4,False,False,False,53.82573179033356,-15814000.0,53.82573179033356,343.98,3.218210361067504,-0.37439521007448023
E09000028,Southwark,London,Safety Valve,738.0,352.0,3226.0,461.0,47.69647696476965,36.7,1906.0,,6.3,,25.811,False,False,False,-45.71678839010263,8713437.0,-45.71678839010263,169.187,4.362037272367262,-0.25022415676682563
E09000017,Hillingdon,London,Safety Valve,685.0,304.0,3503.0,361.0,44.37956204379562,89.2,2375.0,,6.0,,18.223,False,False,False,-112.61657518340634,25604955.0,-112.61657518340634,322.012,2.127249916152193,-0.4928272090280532
E09000023,Lewisham,London,Delivering Better Value,646.0,281.0,3558.0,,43.4984520123839,,2080.0,,4.9,,26.661,False,False,False,-97.19346274264245,15521796.0,-97.19346274264245,,,
E10000028,Staffordshire,West Midlands,,2260.0,953.0,7490.0,947.0,42.16814159292036,35.3,4806.0,,9.1,,21.8,False,False,False,-59.295914560029544,30830555.0,-59.295914560029544,334.291,6.760576862673539,0.010155437720954149
E08000025,Birmingham,West Midlands,Delivering Better Value,2493.0,1044.0,11040.0,1382.0,41.87725631768953,26.7,8639.0,,7.4,710.0,38.067,False,False,False,58.72653275231282,-50402634.0,58.72653275231282,368.994,6.756207418006796,0.009681101489414994
E08000017,Doncaster,Yorkshire and The Humber,Delivering Better Value,795.0,326.0,2646.0,456.0,41.0062893081761,84.9,1946.0,,5.8,,30.289,False,False,False,-127.33109562313943,25321571.0,-127.33109562313943,387.144,2.053499473064286,-0.5008333768403891
E08000016,Barnsley,Yorkshire and The Humber,Safety Valve,718.0,294.0,2752.0,363.0,40.947075208913645,96.7,2184.0,,3.7,,29.933,False,False,False,-86.15047015304681,12203731.0,-86.15047015304681,351.02099999999996,2.0454616675355606,-0.5017059413594821
E06000006,Halton,North West,Delivering Better Value,492.0,200.0,1524.0,208.0,40.65040650406504,58.2,1036.0,,3.2,,32.325,False,False,False,-72.18010796221323,5348546.0,-72.18010796221323,121.056,4.064234734337827,-0.2825528722914397
E08000029,Solihull,West Midlands,Delivering Better Value,485.0,195.0,2301.0,258.0,40.20618556701031,53.1,1704.0,,9.4,180.0,17.37,False,False,False,-123.91724224463458,20739781.0,-123.91724224463458,136.99800000000002,3.5401976671192275,-0.33944105525510754
E06000050,Cheshire West and Chester,North West,,1066.0,421.0,3339.0,487.0,39.493433395872415,15.4,1885.0,,5.7,,18.083,False,False,False,-33.822279680324016,7482300.0,-33.822279680324016,74.998,14.213712365663083,0.8192496080961387
E06000024,North Somerset,South West,Safety Valve,1092.0,431.0,2114.0,625.0,39.46886446886447,63.0,2055.0,,4.6,,15.825,False,False,False,-102.13023505914887,13295314.0,-102.13023505914887,393.75,2.7733333333333334,-0.4226899726652284
E06000025,South Gloucestershire,South West,Safety Valve,825.0,324.0,2814.0,449.0,39.27272727272727,58.1,2101.0,,6.1,,11.66,False,False,False,-163.35867004568817,27459939.0,-163.35867004568817,260.869,3.162506852098179,-0.380442246836182
E10000027,Somerset,South West,Delivering Better Value,1207.0,473.0,5108.0,567.0,39.18806959403479,33.5,3816.0,,10.0,420.0,15.1,False,False,False,,35939920.0,420.0,189.945,6.354471031087947,-0.033930418595420724
E06000015,Derby,East Midlands,,769.0,300.0,3564.0,442.0,39.01170351105331,14.0,1482.0,,12.8,,26.323,False,False,False,-66.5338940391795,12688812.0,-66.5338940391795,61.88,12.427278603749192,0.6253187259934082
E06000063,Cumberland,North West,Delivering Better Value,718.0,278.0,2656.0,378.0,38.71866295264624,42.1,,,,,27.1,False,False,False,-0.0,0.0,-0.0,159.138,4.5118073621636565,-0.23396548194436675
E06000040,Windsor and Maidenhead,South East,Delivering Better Value,302.0,116.0,1199.0,127.0,38.41059602649007,100.0,1004.0,,11.1,-60.0,8.376,False,False,False,-9.708242165443252,1100371.0,-9.708242165443252,127.0,2.377952755905512,-0.4656115216090399
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Delivering Better Value,719.0,276.0,3410.0,400.0,38.38664812239222,96.0,3029.0,,2.0,,15.605,False,False,False,-127.50211638484473,23435399.0,-127.50211638484473,384.0,1.8723958333333333,-0.5204935452461918
E06000034,Thurrock,East of England,Delivering Better Value,666.0,254.0,2319.0,288.0,38.13813813813814,48.3,1135.0,,3.3,340.0,20.928,False,False,False,4.968631748234107,-630261.0,4.968631748234107,139.10399999999998,4.787784679089027,-0.20400605906918395
E10000019,Lincolnshire,East Midlands,,1914.0,724.0,7607.0,1099.0,37.82654127481714,99.0,6444.0,,2.9,,20.5,False,False,False,36.53392576634801,-16280248.0,36.53392576634801,1088.01,1.7591750075826509,-0.5327845213116608
E09000029,Sutton,London,,607.0,221.0,2304.0,366.0,36.40856672158155,76.5,2216.0,,4.1,,13.987,False,False,False,-8.113658104103964,1391038.0,-8.113658104103964,279.99,2.167934569091753,-0.48841058256206027
E10000008,Devon,South West,Safety Valve,2265.0,819.0,8873.0,1277.0,36.15894039735099,3.2,8007.0,,5.0,540.0,18.0,False,True,False,-261.58204279188436,111548000.0,-261.58204279188436,40.864000000000004,55.427760375880965,5.293345908808067
