year,la_name,la_code,region_name,n_requests,n_refused,refusal_rate_pct,n_plans_issued,n_within_20w,timeliness_pct,la_official_appeal_rate_pct,n_tribunal_appeals,intervention_status,sv_entry_year,is_small_la,la_code_static,imd_average_score,dsg_deficit_per_pupil_full,region
2014,Barking and Dagenham,,,,,,,,,1.8,1082.0,None,,False,E09000002,32.768,42.933665428953844,London
2014,Barnet,,,,,,,,,2.7,1807.0,None,,False,E09000003,16.148,38.45173284992435,London
2014,Barnsley,,,,,,,,,1.8,1435.0,Delivering Better Value,,False,E08000016,29.933,-86.15047015304681,Yorkshire and The Humber
2014,Bath and North East Somerset,,,,,,,,,0.8,783.0,None,,False,E06000022,11.745,-174.57691101282896,South West
2014,Bedford,,,,,,,,,0.8,798.0,None,,False,E06000055,18.932,8.299313315352013,East of England
2014,Bexley,,,,,,,,,3.6,1378.0,Delivering Better Value,,False,E09000004,16.273,-25.38016868957005,London
2014,Birmingham,,,,,,,,,1.8,7635.0,None,,False,E08000025,38.067,58.72653275231282,West Midlands
2014,Blackburn with Darwen,,,,,,,,,1.0,395.0,Delivering Better Value,,False,E06000008,36.013,36.111653045083045,North West
2014,Blackpool,,,,,,,,,0.0,543.0,None,,False,E06000009,45.039,-23.27175770061806,North West
2014,Bolton,,,,,,,,,0.1,1382.0,Delivering Better Value,,False,E08000001,30.691,-59.496577305974945,North West
2014,"Bournemouth, Christchurch and Poole5",,,,,,,,,,,None,,False,,,,
2014,Bracknell Forest,,,,,,,,,1.4,645.0,Safety Valve,2022.0,False,E06000036,10.241,-203.65135525188293,South East
2014,Bradford,,,,,,,,,0.4,2240.0,Delivering Better Value,,False,E08000032,34.666,88.76165870074132,Yorkshire and The Humber
2014,Brent,,,,,,,,,2.3,1727.0,None,,False,E09000005,25.558,-65.47638592539909,London
2014,Brighton and Hove,,,,,,,,,1.9,1080.0,None,,False,E06000043,20.761,9.199525129182183,South East
2014,"Bristol, City of",,,,,,,,,1.8,1844.0,None,,False,E06000023,26.363,-132.19450500904907,South West
2014,Bromley,,,,,,,,,1.9,1877.0,None,,False,E09000006,14.163,-69.66255410883606,London
2014,Buckinghamshire,,,,,,,,,0.9,3249.0,None,,False,E10000002,10.7,,South East
2014,Bury,,,,,,,,,0.8,1328.0,Delivering Better Value,,False,E08000002,23.682,-148.92288950561507,North West
2014,Calderdale,,,,,,,,,0.5,931.0,Delivering Better Value,,False,E08000033,26.351,-41.74828869859278,Yorkshire and The Humber
2014,Cambridgeshire,,,,,,,,,2.5,3430.0,Safety Valve,2022.0,False,E10000003,15.4,-96.53909491826376,East of England
2014,Camden,,,,,,,,,1.7,974.0,None,,False,E09000007,20.131,187.75934422372356,London
2014,Central Bedfordshire,,,,,,,,,0.7,1141.0,None,,False,E06000056,12.152,-113.79511962203458,East of England
2014,Cheshire East,,,,,,,,,1.6,1718.0,Safety Valve,2023.0,False,E06000049,14.475,-323.92588794438404,North West
2014,Cheshire West and Chester,,,,,,,,,1.2,1468.0,None,,False,E06000050,18.083,-33.822279680324016,North West
2014,City of London,,,,,,,,,25.0,12.0,None,,True,,,,
2014,Cornwall,,,,,,,,,0.5,2093.0,Delivering Better Value,,False,E06000052,23.072,-76.45536083436696,South West
2014,County Durham,,,,,,,,,1.3,2533.0,None,,False,E06000047,26.793,-29.864810868407034,North East
2014,Coventry,,,,,,,,,1.0,1467.0,Delivering Better Value,,False,E08000026,25.613,55.693984850385796,West Midlands
2014,Croydon,,,,,,,,,2.8,2085.0,Delivering Better Value,,False,E09000008,22.477,-44.38230137921405,London
2014,Cumberland8,,,,,,,,,,,None,,False,,,,
2014,Cumbria8,,,,,,,,,0.8,2106.0,None,,False,,,,
2014,Darlington,,,,,,,,,0.0,450.0,Delivering Better Value,,False,E06000005,25.657,-28.388131220051605,North East
2014,Derby,,,,,,,,,4.1,1133.0,Delivering Better Value,,False,E06000015,26.323,-66.5338940391795,East Midlands
2014,Derbyshire,,,,,,,,,1.4,3460.0,Safety Valve,2023.0,False,E10000007,22.1,-37.878031061676296,East Midlands
2014,Devon,,,,,,,,,0.7,3699.0,Safety Valve,2024.0,False,E10000008,18.0,-261.58204279188436,South West
2014,Doncaster,,,,,,,,,0.4,1423.0,Delivering Better Value,,False,E08000017,30.289,-127.33109562313943,Yorkshire and The Humber
2014,Dorset6,,,,,,,,,1.3,1568.0,None,,False,,,,
2014,Dudley,,,,,,,,,0.5,1528.0,None,,False,E08000027,24.103,-146.80117377612368,West Midlands
2014,Ealing,,,,,,,,,1.6,1795.0,None,,False,E09000009,22.71,-7.920287564501248,London
2014,East Riding of Yorkshire,,,,,,,,,0.7,1034.0,Delivering Better Value,,False,E06000011,15.605,-127.50211638484473,Yorkshire and The Humber
2014,East Sussex,,,,,,,,,1.8,2608.0,Safety Valve,2022.0,False,E10000011,21.4,53.82573179033356,South East
2014,Enfield,,,,,,,,,0.9,1467.0,None,,False,E09000010,25.781,-65.40398666382919,London
2014,Essex,,,,,,,,,2.0,7796.0,Safety Valve,2023.0,False,E10000012,19.7,38.84799113800008,East of England
2014,Gateshead,,,,,,,,,1.5,877.0,Delivering Better Value,,False,E08000037,28.217,22.377263150964513,North East
2014,Gloucestershire,,,,,,,,,1.5,2475.0,Safety Valve,2022.0,False,E10000013,16.2,-112.53492330548914,South West
2014,Greenwich,,,,,,,,,2.9,1272.0,Delivering Better Value,,False,E09000011,24.464,4.333130182939534,London
2014,Hackney,,,,,,,,,2.4,1604.0,None,,False,E09000012,32.526,-111.47546155643842,London
2014,Halton,,,,,,,,,1.7,424.0,Delivering Better Value,,False,E06000006,32.325,-72.18010796221323,North West
2014,Hammersmith and Fulham,,,,,,,,,2.6,765.0,None,,False,E09000013,22.27,-21.469485589619932,London
2014,Hampshire,,,,,,,,,3.2,5242.0,Safety Valve,2022.0,False,E10000014,14.6,-156.1640891218873,South East
2014,Haringey,,,,,,,,,2.2,1432.0,None,,False,E09000014,27.956,-58.23547879733717,London
2014,Harrow,,,,,,,,,1.9,1267.0,None,,False,E09000015,15.031,-6.770715972043664,London
2014,Hartlepool,,,,,,,,,0.0,401.0,Delivering Better Value,,False,E06000001,35.037,-26.291399166059964,North East
2014,Havering,,,,,,,,,0.3,1047.0,Delivering Better Value,,False,E09000016,16.789,-86.83666379036286,London
2014,Herefordshire,,,,,,,,,1.9,637.0,None,,False,,,,
2014,Hertfordshire,,,,,,,,,2.2,3880.0,Safety Valve,2022.0,False,E10000015,13.8,1.661850229832579,East of England
2014,Hillingdon,,,,,,,,,1.4,1668.0,Delivering Better Value,,False,E09000017,18.223,-112.61657518340634,London
2014,Hounslow,,,,,,,,,0.9,1577.0,Delivering Better Value,,False,E09000018,21.487,-57.99421664690341,London
2014,Isle of Wight,,,,,,,,,0.9,743.0,Safety Valve,2022.0,False,E06000046,23.294,-96.87536001880915,South East
2014,Isles of Scilly,,,,,,,,,14.3,7.0,None,,True,,,,
2014,Islington,,,,,,,,,2.5,920.0,None,,False,E09000019,27.535,60.070500270754366,London
2014,Kensington and Chelsea,,,,,,,,,2.4,504.0,None,,False,E09000020,21.526,-43.11157059314954,London
2014,Kent,,,,,,,,,4.7,6924.0,Safety Valve,2023.0,False,E10000016,22.4,-62.02411711255822,South East
2014,Kingston upon Hull,,,,,,,,,0.5,1305.0,Delivering Better Value,,False,,,,
2014,Kingston upon Thames,,,,,,,,,1.8,827.0,None,,False,E09000021,11.381,-37.8047600619195,London
2014,Kirklees,,,,,,,,,1.0,2055.0,Delivering Better Value,,False,E08000034,25.151,-160.3226600804439,Yorkshire and The Humber
2014,Knowsley,,,,,,,,,0.0,923.0,Delivering Better Value,,False,E08000011,43.006,-148.86696445017498,North West
2014,Lambeth,,,,,,,,,3.0,1641.0,None,,False,E09000022,25.422,52.10278945099941,London
2014,Lancashire,,,,,,,,,1.8,5088.0,Delivering Better Value,,False,E10000017,27.3,24.810005761888608,North West
2014,Leeds,,,,,,,,,1.4,2283.0,Delivering Better Value,,False,E08000035,27.301,11.78571767609645,Yorkshire and The Humber
2014,Leicester,,,,,,,,,0.5,1327.0,Delivering Better Value,,False,E06000016,30.877,-38.18949493350222,East Midlands
2014,Leicestershire,,,,,,,,,1.3,2778.0,None,,False,E10000018,15.6,-74.55000931272117,East Midlands
2014,Lewisham,,,,,,,,,3.1,1446.0,None,,False,E09000023,26.661,-97.19346274264245,London
2014,Lincolnshire,,,,,,,,,0.8,3520.0,Delivering Better Value,,False,E10000019,20.5,36.53392576634801,East Midlands
2014,Liverpool,,,,,,,,,2.1,1706.0,Delivering Better Value,,False,E08000012,42.412,17.841847450166636,North West
2014,Luton,,,,,,,,,0.4,1046.0,Delivering Better Value,,False,E06000032,25.908,30.45496371484134,East of England
2014,Manchester,,,,,,,,,1.8,2460.0,Delivering Better Value,,False,E08000003,40.005,-19.53325473351156,North West
2014,Medway,,,,,,,,,3.4,1581.0,Safety Valve,2022.0,False,E06000035,23.936,-91.57543523051623,South East
2014,Merton,,,,,,,,,2.3,1088.0,None,,False,E09000024,14.649,-319.56073144273984,London
2014,Middlesbrough,,,,,,,,,0.0,778.0,Delivering Better Value,,False,E06000002,40.46,-138.04170207834352,North East
2014,Milton Keynes,,,,,,,,,0.3,1430.0,Delivering Better Value,,False,E06000042,17.98,32.29915213042422,South East
2014,Newcastle upon Tyne,,,,,,,,,0.1,934.0,Delivering Better Value,,False,E08000021,29.79,36.4919648950691,North East
2014,Newham,,,,,,,,,3.4,533.0,Delivering Better Value,,False,E09000025,29.577,-49.514351534773674,London
2014,Norfolk,,,,,,,,,1.6,4442.0,Safety Valve,2023.0,False,E10000020,22.5,-164.492957178028,East of England
2014,North East Lincolnshire,,,,,,,,,0.7,549.0,Delivering Better Value,,False,E06000012,31.335,-42.33630927402434,Yorkshire and The Humber
2014,North Lincolnshire,,,,,,,,,0.1,770.0,Delivering Better Value,,False,E06000013,22.096,71.31238773677335,Yorkshire and The Humber
2014,North Northamptonshire7,,,,,,,,,,,None,,False,,,,
2014,North Somerset,,,,,,,,,3.9,596.0,Delivering Better Value,,False,E06000024,15.825,-102.13023505914887,South West
2014,North Tyneside,,,,,,,,,0.7,1017.0,None,,False,E08000022,22.279,-66.34659380170548,North East
2014,North Yorkshire,,,,,,,,,1.2,1807.0,Safety Valve,2023.0,False,E10000023,14.2,380.0,Yorkshire and The Humber
2014,Northamptonshire7,,,,,,,,,1.0,4248.0,None,,False,,,,
2014,Northumberland,,,,,,,,,1.2,1530.0,None,,False,E06000057,22.079,6.381174708745347,North East
2014,Nottingham,,,,,,,,,2.7,671.0,Delivering Better Value,,False,E06000018,34.891,97.26733470005556,East Midlands
2014,Nottinghamshire,,,,,,,,,2.6,1812.0,Delivering Better Value,,False,E10000024,22.9,37.73897908683308,East Midlands
2014,Oldham,,,,,,,,,0.7,1228.0,Delivering Better Value,,False,E08000004,33.155,19.374544712383823,North West
2014,Oxfordshire,,,,,,,,,1.4,2288.0,Safety Valve,2023.0,False,E10000025,14.4,-95.9384876602658,South East
2014,Peterborough,,,,,,,,,0.8,1421.0,Safety Valve,2023.0,False,E06000031,27.821,12.817451756673462,East of England
2014,Plymouth,,,,,,,,,0.2,1650.0,Delivering Better Value,,False,E06000026,26.619,-26.748704272128013,South West
2014,Portsmouth,,,,,,,,,1.0,991.0,Delivering Better Value,,False,E06000044,26.899,95.12746934040437,South East
2014,Reading,,,,,,,,,0.7,1006.0,Delivering Better Value,,False,E06000038,19.619,-85.46871819107169,South East
2014,Redbridge,,,,,,,,,1.4,1550.0,None,,False,E09000026,17.203,29.981096213470547,London
2014,Redcar and Cleveland,,,,,,,,,0.0,751.0,Delivering Better Value,,False,E06000003,29.792,-71.6090027634839,North East
2014,Richmond upon Thames,,,,,,,,,2.6,1082.0,None,,False,E09000027,9.425,7.422471567831032,London
2014,Rochdale,,,,,,,,,0.7,1325.0,Delivering Better Value,,False,E08000005,34.415,-72.25118804721197,North West
2014,Rotherham,,,,,,,,,0.2,1082.0,Delivering Better Value,,False,E08000018,29.55,-5.372900729798646,Yorkshire and The Humber
2014,Rutland,,,,,,,,,1.7,173.0,None,,False,E06000017,8.381,-93.949263502455,East Midlands
2014,Salford,,,,,,,,,1.4,1316.0,Delivering Better Value,,False,E08000006,34.21,-46.366820609837525,North West
2014,Sandwell,,,,,,,,,2.2,1438.0,Delivering Better Value,,False,E08000028,34.884,22.346610102914603,West Midlands
2014,Sefton,,,,,,,,,1.3,1028.0,Delivering Better Value,,False,E08000014,27.035,-213.58020931882686,North West
2014,Sheffield,,,,,,,,,4.0,2141.0,Delivering Better Value,,False,E08000019,27.06,35.665567537989766,Yorkshire and The Humber
2014,Shropshire,,,,,,,,,0.9,1762.0,Safety Valve,2024.0,False,E06000051,17.153,-12.998871841155236,West Midlands
2014,Slough,,,,,,,,,0.2,882.0,Delivering Better Value,,False,E06000039,22.965,-62.28004973551058,South East
2014,Solihull,,,,,,,,,2.1,1316.0,None,,False,E08000029,17.37,-123.91724224463458,West Midlands
2014,Somerset,,,,,,,,,3.1,1322.0,Safety Valve,2022.0,False,E10000027,15.1,420.0,South West
2014,South Gloucestershire,,,,,,,,,1.0,1256.0,None,,False,E06000025,11.66,-163.35867004568817,South West
2014,South Tyneside,,,,,,,,,0.4,717.0,Delivering Better Value,,False,E08000023,31.509,-76.94695918101766,North East
2014,Southampton,,,,,,,,,2.4,837.0,Delivering Better Value,,False,E06000045,26.876,-49.52128400981267,South East
2014,Southend-on-Sea,,,,,,,,,1.5,999.0,Safety Valve,2022.0,False,E06000033,22.375,89.0245192454676,East of England
2014,Southwark,,,,,,,,,2.6,1582.0,None,,False,E09000028,25.811,-45.71678839010263,London
2014,St. Helens,,,,,,,,,1.4,492.0,None,,False,E08000013,31.518,17.166605832755412,North West
2014,Staffordshire,,,,,,,,,1.5,3621.0,None,,False,E10000028,21.8,-59.295914560029544,West Midlands
2014,Stockport,,,,,,,,,1.1,1564.0,Delivering Better Value,,False,E08000007,20.826,-124.0442509218942,North West
2014,Stockton-on-Tees,,,,,,,,,1.1,946.0,Delivering Better Value,,False,E06000004,25.79,-27.798582847773254,North East
2014,Stoke-on-Trent,,,,,,,,,1.3,1401.0,Delivering Better Value,,False,E06000021,34.504,-73.32441752980493,West Midlands
2014,Suffolk,,,,,,,,,1.7,3265.0,Safety Valve,2023.0,False,E10000029,18.5,-121.58468249402205,East of England
2014,Sunderland,,,,,,,,,0.8,1245.0,Delivering Better Value,,False,E08000024,30.586,-53.66217431431479,North East
2014,Surrey,,,,,,,,,3.3,5855.0,Safety Valve,2022.0,False,E10000030,11.2,-97.4078183412789,South East
2014,Sutton,,,,,,,,,3.9,1197.0,None,,False,E09000029,13.987,-8.113658104103964,London
2014,Swindon,,,,,,,,,1.0,1317.0,Safety Valve,2022.0,False,E06000030,18.622,-55.86907359123078,South West
2014,Tameside,,,,,,,,,2.0,717.0,Delivering Better Value,,False,E08000008,31.374,-52.72066292612881,North West
2014,Telford and Wrekin,,,,,,,,,0.9,1059.0,None,,False,E06000020,24.988,-13.558122582564712,West Midlands
2014,Thurrock,,,,,,,,,1.5,1007.0,Safety Valve,2022.0,False,E06000034,20.928,4.968631748234107,East of England
2014,Torbay,,,,,,,,,0.1,912.0,None,,False,E06000027,28.104,-68.62511883912934,South West
2014,Tower Hamlets,,,,,,,,,0.1,2011.0,Delivering Better Value,,False,E09000030,27.913,-84.19037917313871,London
2014,Trafford,,,,,,,,,3.0,1454.0,Delivering Better Value,,False,E08000009,16.088,-53.30755182625864,North West
2014,Wakefield,,,,,,,,,0.2,1430.0,Delivering Better Value,,False,E08000036,27.306,15.805416373526434,Yorkshire and The Humber
2014,Walsall,,,,,,,,,1.9,1325.0,Delivering Better Value,,False,E08000030,31.555,-33.44929665322653,West Midlands
2014,Waltham Forest,,,,,,,,,1.2,1506.0,None,,False,E09000031,25.209,-5.266610898661568,London
2014,Wandsworth,,,,,,,,,2.6,1361.0,None,,False,E09000032,16.611,-82.66153075583753,London
2014,Warrington,,,,,,,,,0.5,1096.0,None,,False,E06000007,18.942,5.489054224843525,North West
2014,Warwickshire,,,,,,,,,0.8,2835.0,Safety Valve,2024.0,False,E10000031,16.1,-84.70726177481714,West Midlands
2014,West Berkshire,,,,,,,,,1.2,781.0,None,,False,E06000037,9.952,-78.25796647785617,South East
2014,West Northamptonshire7,,,,,,,,,,,None,,False,,,,
2014,West Sussex,,,,,,,,,1.2,3415.0,Safety Valve,2022.0,False,E10000032,14.5,-134.77971750030574,South East
2014,Westminster,,,,,,,,,2.4,990.0,None,,False,E09000033,20.339,35.13358481180567,London
2014,Westmorland and Furness8,,,,,,,,,,,None,,False,,,,
2014,Wigan,,,,,,,,,0.8,1331.0,Delivering Better Value,,False,E08000010,25.713,-3.5805263373306593,North West
2014,Wiltshire,,,,,,,,,1.4,2018.0,Safety Valve,2024.0,False,E06000054,13.447,-94.65312252703772,South West
2014,Windsor and Maidenhead,,,,,,,,,1.4,787.0,None,,False,E06000040,8.376,-9.708242165443252,South East
2014,Wirral,,,,,,,,,0.8,1657.0,Delivering Better Value,,False,E08000015,29.589,-63.00319654637175,North West
2014,Wokingham,,,,,,,,,1.4,760.0,None,,False,E06000041,5.846,-146.7285510909672,South East
2014,Wolverhampton,,,,,,,,,0.4,1358.0,Delivering Better Value,,False,E08000031,32.102,14.760040122277417,West Midlands
