la_code,la_name,status,cal_year,ep_service,sen_admin,sen_transport,ehcplans,ep_per_ehcp,admin_per_ehcp,transport_per_ehcp
E06000001,Hartlepool,Delivering Better Value,2019,499961.00,356370.00,1064884.00,585.00,854.63,609.18,1820.31
E06000001,Hartlepool,Delivering Better Value,2020,237168.00,185663.00,1176805.00,610.00,388.80,304.37,1929.19
E06000001,Hartlepool,Delivering Better Value,2021,472526.00,173052.00,1411712.00,710.00,665.53,243.74,1988.33
E06000001,Hartlepool,Delivering Better Value,2022,112013.00,192621.00,1400739.00,740.00,151.37,260.30,1892.89
E06000001,Hartlepool,Delivering Better Value,2023,146226.00,196608.00,1560115.00,801.00,182.55,245.45,1947.71
E06000001,Hartlepool,Delivering Better Value,2024,632081.00,227852.00,1647054.00,859.00,735.83,265.25,1917.41
E06000001,Hartlepool,Delivering Better Value,2025,289328.00,268266.00,1706727.00,966.00,299.51,277.71,1766.80
E06000002,Middlesbrough,Delivering Better Value,2019,429529.00,205374.00,2287663.00,1184.00,362.78,173.46,1932.15
E06000002,Middlesbrough,Delivering Better Value,2020,457442.00,203852.00,2334247.00,1224.00,373.73,166.55,1907.06
E06000002,Middlesbrough,Delivering Better Value,2021,457181.00,203085.00,1529196.00,1272.00,359.42,159.66,1202.20
E06000002,Middlesbrough,Delivering Better Value,2022,573972.00,39350.00,2353267.00,1370.00,418.96,28.72,1717.71
E06000002,Middlesbrough,Delivering Better Value,2023,556105.00,879647.00,2154786.00,1607.00,346.05,547.38,1340.87
E06000002,Middlesbrough,Delivering Better Value,2024,318631.00,476359.00,5089244.00,1872.00,170.21,254.47,2718.61
E06000002,Middlesbrough,Delivering Better Value,2025,721168.00,1227843.00,5979924.00,2019.00,357.19,608.14,2961.82
E06000003,Redcar and Cleveland,Delivering Better Value,2019,73695.00,88996.00,2033613.00,1230.00,59.91,72.35,1653.34
E06000003,Redcar and Cleveland,Delivering Better Value,2020,95629.00,195281.00,1826702.00,1304.00,73.34,149.76,1400.85
E06000003,Redcar and Cleveland,Delivering Better Value,2021,229384.00,563008.00,1755382.00,1340.00,171.18,420.16,1309.99
E06000003,Redcar and Cleveland,Delivering Better Value,2022,243951.00,567713.00,1888440.00,1398.00,174.50,406.09,1350.82
E06000003,Redcar and Cleveland,Delivering Better Value,2023,218381.00,672116.00,3943138.00,1543.00,141.53,435.59,2555.50
E06000003,Redcar and Cleveland,Delivering Better Value,2024,214978.00,767327.00,3877477.00,1491.00,144.18,514.64,2600.59
E06000003,Redcar and Cleveland,Delivering Better Value,2025,235093.00,844463.00,4160446.00,1492.00,157.57,565.99,2788.50
E06000004,Stockton-on-Tees,Delivering Better Value,2019,375613.00,323514.00,2675925.00,1452.00,258.69,222.81,1842.92
E06000004,Stockton-on-Tees,Delivering Better Value,2020,471158.00,346376.00,2824450.00,1548.00,304.37,223.76,1824.58
E06000004,Stockton-on-Tees,Delivering Better Value,2021,348072.00,283902.00,2995096.00,1650.00,210.95,172.06,1815.21
E06000004,Stockton-on-Tees,Delivering Better Value,2022,525057.00,1016761.00,2122227.00,1821.00,288.33,558.35,1165.42
E06000004,Stockton-on-Tees,Delivering Better Value,2023,572574.00,1050388.00,3885142.00,1891.00,302.79,555.47,2054.54
E06000004,Stockton-on-Tees,Delivering Better Value,2024,745467.00,1372986.00,4934184.00,2080.00,358.40,660.09,2372.20
E06000004,Stockton-on-Tees,Delivering Better Value,2025,961243.00,1530479.00,6021245.00,2442.00,393.63,626.73,2465.70
E06000005,Darlington,Delivering Better Value,2019,296824.00,397661.00,1156976.00,741.00,400.57,536.65,1561.37
E06000005,Darlington,Delivering Better Value,2020,400711.00,540131.00,1243131.00,792.00,505.95,681.98,1569.61
E06000005,Darlington,Delivering Better Value,2021,423348.00,618144.00,1077042.00,795.00,532.51,777.54,1354.77
E06000005,Darlington,Delivering Better Value,2022,415809.00,612344.00,1394389.00,848.00,490.34,722.10,1644.33
E06000005,Darlington,Delivering Better Value,2023,456436.00,475997.00,1636684.00,911.00,501.03,522.50,1796.58
E06000005,Darlington,Delivering Better Value,2024,467480.00,476846.00,1547681.00,1026.00,455.63,464.76,1508.46
E06000005,Darlington,Delivering Better Value,2025,505234.00,570417.00,1682334.00,1122.00,450.30,508.39,1499.41
E06000006,Halton,Delivering Better Value,2019,315673.00,872261.00,1750763.00,771.00,409.43,1131.34,2270.77
E06000006,Halton,Delivering Better Value,2020,362170.00,594659.00,2140249.00,904.00,400.63,657.81,2367.53
E06000006,Halton,Delivering Better Value,2021,303391.00,512279.00,1457371.00,1034.00,293.41,495.43,1409.45
E06000006,Halton,Delivering Better Value,2022,305610.00,535720.00,2012984.00,1189.00,257.03,450.56,1693.01
E06000006,Halton,Delivering Better Value,2023,274130.00,557803.00,2284917.00,1319.00,207.83,422.90,1732.31
E06000006,Halton,Delivering Better Value,2024,613976.00,727203.00,3273535.00,1524.00,402.87,477.17,2147.99
E06000006,Halton,Delivering Better Value,2025,661014.00,751710.00,3214204.00,1712.00,386.11,439.08,1877.46
E06000007,Warrington,None,2019,380237.00,611561.00,2174918.00,1566.00,242.81,390.52,1388.84
E06000007,Warrington,None,2020,523660.00,839610.00,1958681.00,1622.00,322.85,517.64,1207.57
E06000007,Warrington,None,2021,442161.00,786504.00,2109439.00,1660.00,266.36,473.80,1270.75
E06000007,Warrington,None,2022,502727.00,877904.00,2370691.00,1731.00,290.43,507.17,1369.55
E06000007,Warrington,None,2023,679490.00,626098.00,2652182.00,1878.00,361.82,333.39,1412.24
E06000007,Warrington,None,2024,1167751.00,408094.00,3520716.00,2052.00,569.08,198.88,1715.75
E06000007,Warrington,None,2025,1064315.00,475337.00,4615978.00,2309.00,460.94,205.86,1999.12
E06000008,Blackburn with Darwen,Delivering Better Value,2019,180467.00,432252.00,2178126.00,821.00,219.81,526.49,2653.02
E06000008,Blackburn with Darwen,Delivering Better Value,2020,353269.00,123819.00,1446800.00,895.00,394.71,138.35,1616.54
E06000008,Blackburn with Darwen,Delivering Better Value,2021,313141.00,278424.00,1504631.00,992.00,315.67,280.67,1516.77
E06000008,Blackburn with Darwen,Delivering Better Value,2022,378301.00,178325.00,1850016.00,1054.00,358.92,169.19,1755.23
E06000008,Blackburn with Darwen,Delivering Better Value,2023,344297.00,268756.00,2310319.00,1174.00,293.27,228.92,1967.90
E06000008,Blackburn with Darwen,Delivering Better Value,2024,596648.00,818234.00,4772183.00,1322.00,451.32,618.94,3609.82
E06000008,Blackburn with Darwen,Delivering Better Value,2025,719959.00,779343.00,4953673.00,1522.00,473.03,512.05,3254.71
E06000009,Blackpool,None,2019,562667.00,657834.00,1503943.00,858.00,655.79,766.71,1752.85
E06000009,Blackpool,None,2020,556596.00,785371.00,1631132.00,1021.00,545.15,769.22,1597.58
E06000009,Blackpool,None,2021,565434.00,885427.00,2011524.00,1206.00,468.85,734.18,1667.93
E06000009,Blackpool,None,2022,513070.00,1455715.00,2244148.00,1249.00,410.78,1165.50,1796.76
E06000009,Blackpool,None,2023,495110.00,837851.00,1949250.00,1312.00,377.37,638.61,1485.71
E06000009,Blackpool,None,2024,583521.00,1398659.00,2374344.00,1462.00,399.13,956.68,1624.04
E06000009,Blackpool,None,2025,293641.00,1255646.00,2790721.00,1661.00,176.79,755.96,1680.15
E06000010,"Kingston upon Hull, City of",None,2019,476907.00,1088396.00,1917138.00,1729.00,275.83,629.49,1108.81
E06000010,"Kingston upon Hull, City of",None,2020,591140.00,1204841.00,2467199.00,1886.00,313.44,638.83,1308.16
E06000010,"Kingston upon Hull, City of",None,2021,624805.00,1119804.00,2599070.00,2100.00,297.53,533.24,1237.65
E06000010,"Kingston upon Hull, City of",None,2022,538286.00,1147041.00,3283036.00,2402.00,224.10,477.54,1366.79
E06000010,"Kingston upon Hull, City of",None,2023,968848.00,1434774.00,4077035.00,2595.00,373.35,552.90,1571.11
E06000010,"Kingston upon Hull, City of",None,2024,1206590.00,1325265.00,4890329.00,2982.00,404.62,444.42,1639.95
E06000010,"Kingston upon Hull, City of",None,2025,1370171.00,1781892.00,6205657.00,3245.00,422.24,549.12,1912.38
E06000011,East Riding of Yorkshire,Delivering Better Value,2019,1239188.00,1020744.00,4729640.00,1906.00,650.15,535.54,2481.45
E06000011,East Riding of Yorkshire,Delivering Better Value,2020,1864254.00,1257629.00,5345532.00,2244.00,830.77,560.44,2382.14
E06000011,East Riding of Yorkshire,Delivering Better Value,2021,1491394.00,965813.00,4891948.00,2500.00,596.56,386.33,1956.78
E06000011,East Riding of Yorkshire,Delivering Better Value,2022,1723192.00,1094065.00,5524723.00,2769.00,622.32,395.11,1995.21
E06000011,East Riding of Yorkshire,Delivering Better Value,2023,2095904.00,1230175.00,6788346.00,3057.00,685.61,402.41,2220.59
E06000011,East Riding of Yorkshire,Delivering Better Value,2024,1749983.00,2909573.00,7129304.00,3410.00,513.19,853.25,2090.70
E06000011,East Riding of Yorkshire,Delivering Better Value,2025,1410751.00,1969512.00,7329091.00,3695.00,381.80,533.02,1983.52
E06000012,North East Lincolnshire,Delivering Better Value,2019,342803.00,466768.00,1705065.00,892.00,384.31,523.28,1911.51
E06000012,North East Lincolnshire,Delivering Better Value,2020,462237.00,691025.00,1931047.00,1029.00,449.21,671.55,1876.62
E06000012,North East Lincolnshire,Delivering Better Value,2021,329125.00,590753.00,2326743.00,1149.00,286.44,514.15,2025.02
E06000012,North East Lincolnshire,Delivering Better Value,2022,399806.00,491254.00,2305825.00,1230.00,325.05,399.39,1874.65
E06000012,North East Lincolnshire,Delivering Better Value,2023,526199.00,768921.00,2946449.00,1406.00,374.25,546.89,2095.63
E06000012,North East Lincolnshire,Delivering Better Value,2024,431158.00,888300.00,3478999.00,1674.00,257.56,530.65,2078.26
E06000012,North East Lincolnshire,Delivering Better Value,2025,1161625.00,923187.00,4025061.00,1983.00,585.79,465.55,2029.78
E06000013,North Lincolnshire,Delivering Better Value,2019,621055.00,792184.00,1822905.00,913.00,680.24,867.67,1996.61
E06000013,North Lincolnshire,Delivering Better Value,2020,555910.00,1029464.00,1885061.00,977.00,569.00,1053.70,1929.44
E06000013,North Lincolnshire,Delivering Better Value,2021,407526.00,1205914.00,2009941.00,1059.00,384.82,1138.73,1897.96
E06000013,North Lincolnshire,Delivering Better Value,2022,495250.00,1069357.00,2171653.00,1149.00,431.03,930.68,1890.04
E06000013,North Lincolnshire,Delivering Better Value,2023,535502.00,1033556.00,2560294.00,1314.00,407.54,786.57,1948.47
E06000013,North Lincolnshire,Delivering Better Value,2024,523534.00,1162678.00,2335605.00,1454.00,360.06,799.64,1606.33
E06000013,North Lincolnshire,Delivering Better Value,2025,767675.00,929959.00,2598064.00,1664.00,461.34,558.87,1561.34
E06000014,York,None,2019,542052.00,385382.00,2013445.00,846.00,640.72,455.53,2379.96
E06000014,York,None,2020,514256.00,458898.00,2066914.00,936.00,549.42,490.28,2208.24
E06000014,York,None,2021,632957.00,302583.00,1784926.00,1058.00,598.26,286.00,1687.08
E06000014,York,None,2022,646919.00,551626.00,2157456.00,1179.00,548.70,467.88,1829.90
E06000014,York,None,2023,613418.00,991962.00,2284887.00,1207.00,508.22,821.84,1893.03
E06000014,York,None,2024,717498.00,975040.00,2467145.00,1348.00,532.27,723.32,1830.23
E06000014,York,None,2025,891198.00,989644.00,2817233.00,1556.00,572.75,636.02,1810.56
E06000015,Derby,Delivering Better Value,2019,1033225.00,1012810.00,3040226.00,1895.00,545.24,534.46,1604.34
E06000015,Derby,Delivering Better Value,2020,888207.00,924145.00,3115166.00,2298.00,386.51,402.15,1355.60
E06000015,Derby,Delivering Better Value,2021,883078.00,921567.00,2683355.00,2613.00,337.96,352.69,1026.92
E06000015,Derby,Delivering Better Value,2022,692627.00,949573.00,3932467.00,2900.00,238.84,327.44,1356.02
E06000015,Derby,Delivering Better Value,2023,690062.00,1072956.00,6664454.00,3301.00,209.05,325.04,2018.92
E06000015,Derby,Delivering Better Value,2024,725066.00,1195600.00,5908936.00,3564.00,203.44,335.47,1657.95
E06000015,Derby,Delivering Better Value,2025,737436.00,1374712.00,5819070.00,3735.00,197.44,368.06,1557.98
E06000016,Leicester,Delivering Better Value,2019,1071154.00,466542.00,5951044.00,2386.00,448.93,195.53,2494.15
E06000016,Leicester,Delivering Better Value,2020,1017350.00,638757.00,5237150.00,2634.00,386.24,242.50,1988.29
E06000016,Leicester,Delivering Better Value,2021,1114805.00,1010268.00,8208705.00,2990.00,372.84,337.88,2745.39
E06000016,Leicester,Delivering Better Value,2022,1240736.00,1224505.00,10014406.00,2954.00,420.02,414.52,3390.12
E06000016,Leicester,Delivering Better Value,2023,1491726.00,1578193.00,10651781.00,3387.00,440.43,465.96,3144.90
E06000016,Leicester,Delivering Better Value,2024,2230930.00,1530489.00,11808169.00,3824.00,583.40,400.23,3087.91
E06000016,Leicester,Delivering Better Value,2025,1990557.00,1574585.00,11775506.00,4057.00,490.65,388.12,2902.52
E06000017,Rutland,None,2019,138570.00,109578.00,631229.00,197.00,703.40,556.23,3204.21
E06000017,Rutland,None,2020,189942.00,242257.00,938551.00,222.00,855.59,1091.25,4227.71
E06000017,Rutland,None,2021,137222.00,311731.00,828165.00,261.00,525.75,1194.37,3173.05
E06000017,Rutland,None,2022,153150.00,297637.00,989127.00,279.00,548.92,1066.80,3545.26
E06000017,Rutland,None,2023,278240.00,473052.00,1317533.00,314.00,886.11,1506.54,4195.96
E06000017,Rutland,None,2024,210820.00,483426.00,1581551.00,340.00,620.06,1421.84,4651.62
E06000017,Rutland,None,2025,236502.00,286251.00,2139305.00,376.00,628.99,761.31,5689.64
E06000018,Nottingham,Delivering Better Value,2019,684413.00,274389.00,1657741.00,1021.00,670.34,268.75,1623.64
E06000018,Nottingham,Delivering Better Value,2020,587521.00,198784.00,1498355.00,1106.00,531.21,179.73,1354.75
E06000018,Nottingham,Delivering Better Value,2021,1045157.00,264820.00,1207504.00,1231.00,849.03,215.13,980.91
E06000018,Nottingham,Delivering Better Value,2022,749495.00,257581.00,1261547.00,1311.00,571.70,196.48,962.28
E06000018,Nottingham,Delivering Better Value,2023,925638.00,381405.00,2576291.00,1371.00,675.16,278.19,1879.13
E06000018,Nottingham,Delivering Better Value,2024,1131062.00,276451.00,2670980.00,2115.00,534.78,130.71,1262.87
E06000018,Nottingham,Delivering Better Value,2025,1200626.00,520844.00,2590490.00,1909.00,628.93,272.84,1356.99
E06000019,"Herefordshire, County of",None,2019,282321.00,280826.00,1439397.00,939.00,300.66,299.07,1532.90
E06000019,"Herefordshire, County of",None,2020,318256.00,586314.00,1746044.00,1002.00,317.62,585.14,1742.56
E06000019,"Herefordshire, County of",None,2021,382011.00,419097.00,2615038.00,1055.00,362.10,397.25,2478.71
