la_code,la_name,pct_2022,pct_2024,change
E08000002,Bury,51.0,99.0,48.0
E08000016,Barnsley,72.7,96.7,24.0
E09000027,Richmond upon Thames,72.9,94.2,21.3
E09000021,Kingston upon Thames,71.6,93.5,21.9
E09000017,Hillingdon,66.0,89.2,23.2
E09000013,Hammersmith and Fulham,82.1,84.9,2.8
E09000014,Haringey,43.9,82.6,38.7
E08000018,Rotherham,51.4,79.3,27.9
E09000018,Hounslow,49.5,77.9,28.4
E09000024,Merton,46.2,73.9,27.7
E09000008,Croydon,37.6,72.8,35.2
E06000005,Darlington,90.2,72.1,-18.1
E08000001,Bolton,44.1,71.4,27.3
E09000004,Bexley,82.6,66.7,-15.9
E06000014,York,88.2,64.8,-23.4
E06000024,North Somerset,38.2,63.0,24.8
E06000009,Blackpool,83.2,60.5,-22.7
E06000025,South Gloucestershire,17.6,58.1,40.5
E06000041,Wokingham,55.9,56.2,0.3
E10000020,Norfolk,,55.7,
E08000006,Salford,53.3,50.1,-3.2
E06000059,Dorset,62.2,49.1,-13.1
E06000036,Bracknell Forest,48.1,45.1,-3.0
E10000030,Surrey,26.4,40.6,14.2
E08000022,North Tyneside,80.4,39.1,-41.3
E09000028,Southwark,48.4,36.7,-11.7
E06000021,Stoke-on-Trent,62.7,32.9,-29.8
E06000054,Wiltshire,13.4,32.5,19.1
E10000016,Kent,40.9,32.3,-8.6
E06000027,Torbay,65.0,28.9,-36.1
E06000046,Isle of Wight,66.8,28.6,-38.2
E06000022,Bath and North East Somerset,22.6,24.1,1.5
E08000034,Kirklees,14.4,22.9,8.5
E06000023,"Bristol, City of",38.1,17.3,-20.8
E06000035,Medway,66.1,11.7,-54.4
E10000003,Cambridgeshire,36.7,7.7,-29.0
E06000039,Slough,11.4,7.4,-4.0
E10000008,Devon,11.8,3.2,-8.6
