vintage,model,target_year,predicted,actual,error_pct
2016,ia_null,2022,253781.2,473255.0,-46.4
2016,ia_null,2023,256000.6,517048.0,-50.5
2016,ia_null,2024,258220.0,576474.0,-55.2
2016,ia_null,2025,260439.4,638745.0,-59.2
2016,linear_recent,2022,295553.0,473255.0,-37.5
2016,linear_recent,2023,302725.4,517048.0,-41.5
2016,linear_recent,2024,309897.8,576474.0,-46.2
2016,linear_recent,2025,317070.2,638745.0,-50.4
2016,exp_ehcp_era,2022,378586.0,473255.0,-20.0
2016,exp_ehcp_era,2023,404013.9,517048.0,-21.9
2016,exp_ehcp_era,2024,431149.7,576474.0,-25.2
2016,exp_ehcp_era,2025,460108.1,638745.0,-28.0
2017,ia_null,2022,253781.2,473255.0,-46.4
2017,ia_null,2023,256000.6,517048.0,-50.5
2017,ia_null,2024,258220.0,576474.0,-55.2
2017,ia_null,2025,260439.4,638745.0,-59.2
2017,linear_recent,2022,363559.6,473255.0,-23.2
2017,linear_recent,2023,380226.5,517048.0,-26.5
2017,linear_recent,2024,396893.4,576474.0,-31.2
2017,linear_recent,2025,413560.3,638745.0,-35.3
2017,exp_ehcp_era,2022,445875.6,473255.0,-5.8
2017,exp_ehcp_era,2023,487643.9,517048.0,-5.7
2017,exp_ehcp_era,2024,533325.0,576474.0,-7.5
2017,exp_ehcp_era,2025,583285.3,638745.0,-8.7
2018,ia_null,2022,253781.2,473255.0,-46.4
2018,ia_null,2023,256000.6,517048.0,-50.5
2018,ia_null,2024,258220.0,576474.0,-55.2
2018,ia_null,2025,260439.4,638745.0,-59.2
2018,linear_recent,2022,424337.4,473255.0,-10.3
2018,linear_recent,2023,451325.7,517048.0,-12.7
2018,linear_recent,2024,478314.0,576474.0,-17.0
2018,linear_recent,2025,505302.3,638745.0,-20.9
2018,exp_ehcp_era,2022,468363.6,473255.0,-1.0
2018,exp_ehcp_era,2023,516233.7,517048.0,-0.2
2018,exp_ehcp_era,2024,568996.5,576474.0,-1.3
2018,exp_ehcp_era,2025,627152.1,638745.0,-1.8
2019,ia_null,2022,253781.2,473255.0,-46.4
2019,ia_null,2023,256000.6,517048.0,-50.5
2019,ia_null,2024,258220.0,576474.0,-55.2
2019,ia_null,2025,260439.4,638745.0,-59.2
2019,linear_recent,2022,450860.8,473255.0,-4.7
2019,linear_recent,2023,483417.7,517048.0,-6.5
2019,linear_recent,2024,515974.6,576474.0,-10.5
2019,linear_recent,2025,548531.5,638745.0,-14.1
2019,exp_ehcp_era,2022,475146.6,473255.0,0.4
2019,exp_ehcp_era,2023,524966.5,517048.0,1.5
2019,exp_ehcp_era,2024,580010.2,576474.0,0.6
2019,exp_ehcp_era,2025,640825.2,638745.0,0.3
2020,ia_null,2022,253781.2,473255.0,-46.4
2020,ia_null,2023,256000.6,517048.0,-50.5
2020,ia_null,2024,258220.0,576474.0,-55.2
2020,ia_null,2025,260439.4,638745.0,-59.2
2020,linear_recent,2022,457724.8,473255.0,-3.3
2020,linear_recent,2023,491988.1,517048.0,-4.8
2020,linear_recent,2024,526251.4,576474.0,-8.7
2020,linear_recent,2025,560514.7,638745.0,-12.2
2020,exp_ehcp_era,2022,476003.2,473255.0,0.6
2020,exp_ehcp_era,2023,526080.2,517048.0,1.7
2020,exp_ehcp_era,2024,581425.4,576474.0,0.9
2020,exp_ehcp_era,2025,642593.1,638745.0,0.6
2021,ia_null,2022,253781.2,473255.0,-46.4
2021,ia_null,2023,256000.6,517048.0,-50.5
2021,ia_null,2024,258220.0,576474.0,-55.2
2021,ia_null,2025,260439.4,638745.0,-59.2
2021,linear_recent,2022,465842.0,473255.0,-1.6
2021,linear_recent,2023,502716.8,517048.0,-2.8
2021,linear_recent,2024,539591.6,576474.0,-6.4
2021,linear_recent,2025,576466.4,638745.0,-9.8
2021,exp_ehcp_era,2022,476005.7,473255.0,0.6
2021,exp_ehcp_era,2023,526083.5,517048.0,1.7
2021,exp_ehcp_era,2024,581429.6,576474.0,0.9
2021,exp_ehcp_era,2025,642598.3,638745.0,0.6
