year,caseload_jan,school_age_0_15,post16_16_25,new_plans_calendar,timeliness_pct,late_plans,s251_indep_topup_gbp_m,tribunal_appeals
2010,228221.0,208002.0,20219.0,25887.0,,,,
2011,229017.0,207189.0,21828.0,27447.0,,,,
2012,230156.0,208768.0,21388.0,28636.0,,,,
2013,233431.0,210753.0,22678.0,29109.0,,,,
2014,237111.0,214010.0,23101.0,27139.0,64.3,9688.6,,4095.0
2015,240183.0,214635.0,25548.0,27923.0,59.2,11392.6,,3121.0
2016,256315.0,213951.0,42364.0,36094.0,58.6,14942.9,940.0,3843.0
2017,287290.0,221548.0,65742.0,42162.0,64.9,14798.9,1017.1,4956.0
2018,319819.0,235559.0,84260.0,48907.0,60.1,19536.8,1120.7,5980.0
2019,353995.0,257648.0,96347.0,53899.0,60.4,22014.0,1212.9,7385.0
2020,390109.0,,,60097.0,58.0,26234.0,1377.4,7843.0
2021,430697.0,,,62180.0,59.9,25799.0,1548.2,9184.0
2022,473255.0,,,66706.0,49.2,34286.0,1782.6,12796.0
2023,517048.0,,,84428.0,50.3,41161.0,2023.4,15615.0
2024,576474.0,,,97747.0,46.4,48944.0,2422.9,22276.0
2025,638745.0,,,,,,2947.4,
